,all_urls_details
69,https://www.laithwaites.co.uk/product/Don-Cayetano-Sauvignon-Blanc-2021/0000721
70,https://www.laithwaites.co.uk/product/Il-Sogno-di-Arianna-Pinot-Grigio-2021/3745421
71,https://www.laithwaites.co.uk/product/El-Bombero-2021/0003921
72,https://www.laithwaites.co.uk/product/Terra-Batista-Spumante-Prosecco-2021/3747121
73,https://www.laithwaites.co.uk/product/Hunter's-Sauvignon-Blanc-2021/0012721
74,https://www.laithwaites.co.uk/product/Pink-Darner-White-Zinfandel-2021/4164621
75,https://www.laithwaites.co.uk/product/w/o-Frappato-2020/4160220
76,https://www.laithwaites.co.uk/product/Le-XV-du-Pr%C3%A9sident-2021/3310021
77,https://www.laithwaites.co.uk/product/Queen-Bee-Viognier-2022/3714722
78,https://www.laithwaites.co.uk/product/The-Forefather-Gran-Selecci%C3%B3n-Malbec-Shiraz-2020/0399920
79,https://www.laithwaites.co.uk/product/Rainha-do-Mar-Castel%C3%A3o-2020/1792520
80,https://www.laithwaites.co.uk/product/La-Belle-Saison-Sauvignon-Blanc-2021/0201321
81,https://www.laithwaites.co.uk/product/Don-Cayetano-Merlot-2021/0064121
82,https://www.laithwaites.co.uk/product/Albert-Bichot-M%C3%A2con-Lugny-Les-Charmes-2020/2254020
83,https://www.laithwaites.co.uk/product/Cleanskin-SA-Cabernet-Sauvignon-2020/4136220
84,https://www.laithwaites.co.uk/product/Project-Malbec-2021/3980021
85,https://www.laithwaites.co.uk/product/Petticoat-White-Zinfandel-2021/0482821
86,https://www.laithwaites.co.uk/product/Le-Prince-de-Courth%C3%A9zon-C%C3%B4tes-du-Rh%C3%B4ne-2020/0455720
87,https://www.laithwaites.co.uk/product/PS-P%C3%A9tillant-Ros%C3%A9-2020/0075120
88,https://www.laithwaites.co.uk/product/McPherson-Full-Fifteen-Sparkling-Red-2021/1843821
89,https://www.laithwaites.co.uk/product/Under-the-Lemon-Tree-Chenin-Blanc-2022/4253622
90,https://www.laithwaites.co.uk/product/Laithwaites-Sauvignon-Blanc-2021/0307621
91,https://www.laithwaites.co.uk/product/Project-Malbec-2020/3980020
92,https://www.laithwaites.co.uk/product/Sunday-Bay-Reserve-Sauvignon-Blanc-2021/2382521
93,https://www.laithwaites.co.uk/product/Farinelli-Rosso-2021/2247120
94,https://www.laithwaites.co.uk/product/Miravalles-Estate-Malbec-2021/4205221
95,https://www.laithwaites.co.uk/product/Pillastro-Selezione-d'Oro-2021/0307821
96,https://www.laithwaites.co.uk/product/Clos-des-Lunes-Lune-d%E2%80%99Argent-Bordeaux-Blanc-2021/4121921
97,https://www.laithwaites.co.uk/product/Lustrato-Prosecco-2021/4226521
98,https://www.laithwaites.co.uk/product/Yarrunga-Field-Special-Reserve-White-2021/0011621
99,https://www.laithwaites.co.uk/product/La-Fonte-d'Oro-2020/0307720
100,https://www.laithwaites.co.uk/product/Le-Champ-des-Etoiles-Chardonnay-2021/2116121
101,https://www.laithwaites.co.uk/product/Concettina-Rosso-2020/4213920
102,https://www.laithwaites.co.uk/product/L'Epiphanie-de-Bordeaux-Blanc-2021/4021621
103,https://www.laithwaites.co.uk/product/Hand-Select-Cleanskin-Cabernet-Sauvignon-2021/4253321
104,https://www.laithwaites.co.uk/product/w/o-Organic-Nero-d'Avola-Rosato-2021/4196821
105,https://www.laithwaites.co.uk/product/Finca-Libertad-Blanco-2021/3941920
106,https://www.laithwaites.co.uk/product/Rex-Mundi-Vivant-Sparkling-Red-2020/4149220
107,https://www.laithwaites.co.uk/product/Posada-del-Rey-Blanco-2020/0363020
108,https://www.laithwaites.co.uk/product/Limited-Release-Elgin-Sauvignon-Blanc-2021/4211121
109,https://www.laithwaites.co.uk/product/Bar%C3%B3n-de-Barb%C3%B3n-Blanco-2021/0243821
110,https://www.laithwaites.co.uk/product/Boscwood-SA-Petit-Verdot-Shiraz-2020/4063920
111,https://www.laithwaites.co.uk/product/Domaine-Dampt-Petit-Chablis-Vieilles-Vignes-2021/0032821
112,https://www.laithwaites.co.uk/product/M%C3%A9ritoire-Sauvignon-Blanc-2020/4039220
113,https://www.laithwaites.co.uk/product/Les-Hauts-de-Morin-Langaran-Picpoul-de-Pinet-2021/2967621
114,https://www.laithwaites.co.uk/product/Selecci%C3%B3n-Especial-Numerada-60-Albari%C3%B1o-2021/3807121
115,https://www.laithwaites.co.uk/product/The-Waxed-Bat-(half-bottle)-2021/4109021
116,https://www.laithwaites.co.uk/product/Tierras-de-la-Fuente-Organic-Tempranillo-Syrah-2020/3178520
117,https://www.laithwaites.co.uk/product/The-Patriots-Merlot-2021/2257221
118,https://www.laithwaites.co.uk/product/Casa-Cantalini-Prosecco-Frizzante-2021/4199521
119,https://www.laithwaites.co.uk/product/Domaine-Alain-Malet-R%C3%A9serve-2021/2259021
120,https://www.laithwaites.co.uk/product/Grant-Burge-Corryton-Park-Cabernet-Sauvignon-2019/4174119
121,https://www.laithwaites.co.uk/product/Bellarine-Bay-Pinot-Grigio-2021/1940021
122,https://www.laithwaites.co.uk/product/Domaine-Daniel-Reverdy-Sancerre-2021/0475421
123,https://www.laithwaites.co.uk/product/Mach-2t-Cabernet-Petit-Verdot-2021/4204421
124,https://www.laithwaites.co.uk/product/HJ-Fabre-Barrel-Selection-Patagonia-Malbec-2020/0232420
125,https://www.laithwaites.co.uk/product/Eylo-2021/4142921
126,https://www.laithwaites.co.uk/product/Abbesse-Sauvignon-Blanc-(half-bottle)-2021/2167721
127,https://www.laithwaites.co.uk/product/McPherson's-The-Full-Fifteen-Chardonnay-2021/1903021
128,https://www.laithwaites.co.uk/product/The-Dip-2020/4159120
129,https://www.laithwaites.co.uk/product/Corsiero-Nero-2020/1541020
130,https://www.laithwaites.co.uk/product/Santa-Magdalena-Balduzzi-2020/4025520
131,https://www.laithwaites.co.uk/product/Roche-Lacour-Ros%C3%A9-2019/0413719
132,https://www.laithwaites.co.uk/product/Domaine-de-la-Mandeli%C3%A8re-Robert-Nicolle-2020/0419920
133,https://www.laithwaites.co.uk/product/Aluado-Chardonnay-2020/2881020
134,https://www.laithwaites.co.uk/product/Marie-&-Sylvie-Les-Deux-S%C5%93urs-2020/4089020
135,https://www.laithwaites.co.uk/product/Vertiges-2020/4089320
136,https://www.laithwaites.co.uk/product/Sancho-Garc%C3%A9s-Rioja-2020/4127920
137,https://www.laithwaites.co.uk/product/Familia-Mart%C3%ADnez-Bujanda-Reserva-2015/2151715
138,https://www.laithwaites.co.uk/product/Cabali%C3%A9-(187ml)-2021/3302221
139,https://www.laithwaites.co.uk/product/Finca-Libertad-Tinto-2021/3942021
140,https://www.laithwaites.co.uk/product/Los-Hermanos-Manzanos-Blanco-Barrica-2020/1497120
