name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
1749 Chinon 2020,2020,13.50%,75cl,Cabernet Franc,France,Red,Light Reds,Now - End 2025,Vincent Boutin,11.99,6,4.2 out of 5 stars from 6 customers,https://www.virginwines.co.uk/wine/Z41633100020/1749-Chinon
Le Vendangeoir Saint Nicolas de Bourgueil 2020,2020,12.50%,75cl,Cabernet Franc,France,Red,Light Reds,Now - End 2026,Vincent Boutin,13.99,2,3.5 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41631100020/Le-Vendangeoir-Saint-Nicolas-de-Bourgueil
Kahaka Marlborough Sauvignon Blanc 2021,2021,13.00%,75cl,Sauvignon Blanc,New Zealand,White,Fruity Whites,Now - End 2024,Steve Bird,14.99,26,4.3 out of 5 stars from 26 customers,https://www.virginwines.co.uk/wine/Z41431103461/Kahaka-Marlborough-Sauvignon-Blanc-Z41431103461
Les Perruches Vouvray Demi Sec 2020,2020,12.50%,75cl,Chenin Blanc,France,White,Fruity Whites,Now - End 2028,Vincent Boutin,13.99,15,4.3 out of 5 stars from 15 customers,https://www.virginwines.co.uk/wine/Z41629100020/Les-Perruches-Vouvray-Demi-Sec
1749 Muscadet 2020,2020,11.50%,75cl,Melon,France,White,Dry and Crisp Whites,Now - End 2023,Vincent Boutin,11.99,25,4.7 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z41630100020/1749-Muscadet
Pouilly Fuisse Domain Damien Martin 2020,2020,13.00%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2028,Damien Martin,22.99,8,4.6 out of 5 stars from 8 customers,https://www.virginwines.co.uk/wine/Z41761103527/Pouilly-Fuisse-Domain-Damien-Martin
Saint Veran Les Grands Cras Domaine Damien Martin 2019,2019,13.00%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2028,Damien Martin,23.99,2,4 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41762103527/Saint-Veran-Les-Grands-Cras-Domaine-Damien-Martin
Domaine Billaud-Simon Chablis 1er Cru Vaillons 2020,2020,13.50%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2031,Olivier Bailly,49.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z41753102131/Domaine-Billaud-Simon-Chablis-1er-Cru-Vaillons
Finca Allende Rioja Tinto 2014,2014,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Full Bodied Reds,Now - End 2027,Miguel Angel De Gregorio,25.99,4,4.2 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z41702102131/Finca-Allende-Rioja-Tinto-Z41702102131
Macon Verze Domaine Damien Martin 2020,2020,13.00%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2027,Damien Martin,19.99,2,4 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41758103527/Macon-Verze-Domaine-Damien-Martin-Z41758103527
Saint Veran Les Maillettes Domaine Damien Martin 2020,2020,13.00%,75cl,Chardonnay,France,White,Fruity Whites,Now - End 2028,Damien Martin,19.99,3,4.7 out of 5 stars from 3 customers,https://www.virginwines.co.uk/wine/Z41757103527/Saint-Veran-Les-Maillettes-Domaine-Damien-Martin-Z41757103527
Domaine Francine & Olivier Savary Chablis 2019,2019,12.50%,75cl,Chardonnay,France,White,Dry and Crisp Whites,Now - End 2023,Francine and Olivier Savary,19.99,40,4.2 out of 5 stars from 40 customers,https://www.virginwines.co.uk/wine/Z36940102131/Domaine-Francine-and-Olivier-Savary-Chablis
La Pinede Ventoux 2020,2020,14.50%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2025,Romain Leroy,13.99,73,4.1 out of 5 stars from 73 customers,https://www.virginwines.co.uk/wine/Z41541100780/La-Pinede-Ventoux
Sestosenso Grillo 2020,2020,13.00%,75cl,Grillo,Italy,White,Aromatic Whites,Now - End 2024,Fabrizio Vella,12.99,53,3.2 out of 5 stars from 53 customers,https://www.virginwines.co.uk/wine/Z41590101434/Sestosenso-Grillo
Three Gables Winemaker's Chardonnay Viognier 2021,2021,13.00%,75cl,Chardonnay blend,South Africa,White,Dry and Crisp Whites,Now - End 2024,Nadia Engelbrecht,9.99,106,3.8 out of 5 stars from 106 customers,https://www.virginwines.co.uk/wine/Z41564101414/Three-Gables-Winemakers-Chardonnay-Viognier
Tall Gum Mount Benson Pinot Gris 2021,2021,12.50%,75cl,Pinot Gris,Australia,White,Dry and Crisp Whites,Now - End 2023,Fuse Winemaking Team,12.99,60,4.1 out of 5 stars from 60 customers,https://www.virginwines.co.uk/wine/Z41544101414/Tall-Gum-Mount-Benson-Pinot-Gris
Chateau Puy Razac Saint Emilion Grand Cru 2018,2018,14.00%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2028,Catherine Leymarie-Thoilliez,19.99,4,3.5 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z41632100783/Chateau-Puy-Razac-Saint-Emilion-Grand-Cru
5oS Project Old Vine Co. Shiraz Grenache 2019,2019,14.50%,75cl,Syrah / Shiraz blend,Australia,Red,Full Bodied Reds,Now - End 2030,Steve Grimley,24.99,2,4 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41370102291/5oS-Project-Old-Vine-Co.-Shiraz-Grenache
Ripper Reserve Adelaide Hills Chardonnay 2021,2021,13.00%,75cl,Chardonnay,Australia,White,Dry and Crisp Whites,Now - End 2023,Fuse Winemaking Team,11.99,43,3.8 out of 5 stars from 43 customers,https://www.virginwines.co.uk/wine/Z41567101414/Ripper-Reserve-Adelaide-Hills-Chardonnay
Elbo Organic Tempranillo 2019,2019,14.50%,75cl,Tempranillo (Rioja),Spain,Red,Full Bodied Reds,Now - End 2024,Bodegas Vizar,13.99,71,3.7 out of 5 stars from 71 customers,https://www.virginwines.co.uk/wine/Z40463101434/Elbo-Organic-Tempranillo
Mahaut Coteaux Varois en Provence Rose 2020,2020,13.00%,75cl,Syrah / Shiraz blend,France,Rosé,Dry and Fruity Rosé,Now - End 2023,Patrick Lobier,12.99,16,4.1 out of 5 stars from 16 customers,https://www.virginwines.co.uk/wine/Z41588101434/Mahaut-Coteaux-Varois-en-Provence-Rose
La Penombre Reserve Lesquerde 2019,2019,14.50%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2026,David Bleuze and Kim Tidy,14.99,24,4.4 out of 5 stars from 24 customers,https://www.virginwines.co.uk/wine/Z41491103465/La-Penombre-Reserve-Lesquerde
Reservoir Hogs Adelaide Hills Sauvignon Blanc 2021,2021,12.00%,75cl,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2026,Steve Grimley,13.99,61,4 out of 5 stars from 61 customers,https://www.virginwines.co.uk/wine/Z41351102291/Reservoir-Hogs-Adelaide-Hills-Sauvignon-Blanc-Z41351102291
Albacore Reserve Adelaide Hills Sauvignon Blanc 2021,2021,12.00%,75cl,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2025,Steve Grimley,13.99,70,4.3 out of 5 stars from 70 customers,https://www.virginwines.co.uk/wine/Z41340102291/Albacore-Reserve-Adelaide-Hills-Sauvignon-Blanc
Pizo Old Vine Carinena 2020,2020,14.00%,75cl,Carignan,Spain,Red,Full Bodied Reds,Now - End 2028,Antonio Serrano,11.99,87,4.2 out of 5 stars from 87 customers,https://www.virginwines.co.uk/wine/Z41548102647/Pizo-Old-Vine-Carinena
Loom SV Sangiovese 2016,2016,14.00%,75cl,Sangiovese,Australia,Red,Full Bodied Reds,Now - End 2030,Steve Grimley,16.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z38975102291/Loom-SV-Sangiovese
Familiar Vinho Regional Lisboa Tinto 2021,2021,13.00%,75cl,Cabernet blend,Portugal,Red,Light Reds,Now - End 2024,Jorge Moreira,10.99,197,4.1 out of 5 stars from 197 customers,https://www.virginwines.co.uk/wine/Z41533101434/Familiar-Vinho-Regional-Lisboa-Tinto
Domaine de Bonserine Cote Rotie La Sarrasine 2018,2018,14.00%,75cl,Syrah / Shiraz blend,France,Red,Full Bodied Reds,Now - End 2023,Etienne Beguin,49.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41589101434/Domaine-de-Bonserine-Cote-Rotie-La-Sarrasine
Pierre Sourdais Chinon Tradition 2019,2019,12.50%,75cl,Cabernet Franc,France,Red,Light Reds,Now - End 2027,Pierre Sourdais,12.99,6,3.5 out of 5 stars from 6 customers,https://www.virginwines.co.uk/wine/Z41598102951/Pierre-Sourdais-Chinon-Tradition
Ripper Reserve Adelaide Hills Sauvignon Blanc 2021,2021,11.50%,75cl,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2024,Fuse Winemaking Team,11.99,108,4 out of 5 stars from 108 customers,https://www.virginwines.co.uk/wine/Z41580101414/Ripper-Reserve-Adelaide-Hills-Sauvignon-Blanc
Tall Gum Reserve Adelaide Hills Sauvignon Blanc 2021,2021,11.50%,75cl,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2024,Fuse Winemaking Team,11.99,45,4 out of 5 stars from 45 customers,https://www.virginwines.co.uk/wine/Z41581101414/Tall-Gum-Reserve-Adelaide-Hills-Sauvignon-Blanc
De Martino Estate 25th Anniversary Carmenere 2019,2019,13.00%,75cl,Carmenere,Chile,Red,Full Bodied Reds,Now - End 2026,Nicolas Perez,21.99,44,4.4 out of 5 stars from 44 customers,https://www.virginwines.co.uk/wine/Z41295100741/De-Martino-Estate-25th-Anniversary-Carmenere
Nadia's Pure Perdeberg Shiraz Malbec 2020,2020,14.50%,75cl,Syrah / Shiraz blend,South Africa,Red,Full Bodied Reds,Now - End 2023,Nadia Engelbrecht,9.99,563,4 out of 5 stars from 563 customers,https://www.virginwines.co.uk/wine/Z37726101414/Nadias-Pure-Perdeberg-Shiraz-Malbec-Z37726101414
The Vinitor Pinot Noir 2020,2020,13.50%,75cl,Pinot Noir,USA,Red,Light Reds,Now - End 2026,Natale Gagliardo,11.99,44,3.7 out of 5 stars from 44 customers,https://www.virginwines.co.uk/wine/Z41465101414/The-Vinitor-Pinot-Noir
Between Bridges Merlot 2020,2020,13.50%,75cl,Merlot,Romania,Red,Light Reds,Now - End 2023,Hartley Smithers,9.99,624,4 out of 5 stars from 624 customers,https://www.virginwines.co.uk/wine/Z40538101434/Between-Bridges-Merlot
Les Trois Calices Gros Manseng Sauvignon Blanc 2020,2020,12.50%,75cl,Other white grapes,France,White,Dry and Crisp Whites,Now - End 2024,Eric Lanxade,9.99,68,4.4 out of 5 stars from 68 customers,https://www.virginwines.co.uk/wine/Z41578101414/Les-Trois-Calices-Gros-Manseng-Sauvignon-Blanc
Domaine Chavet Menetou Salon Rouge 2020,2020,14.50%,75cl,Pinot Noir,France,Red,Light Reds,Now - End 2024,Antoine de la Farge,16.99,2,3 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41506101434/Domaine-Chavet-Menetou-Salon-Rouge
La Penombre Reserve Pinot Noir Tete de Cuvee 2020,2020,13.00%,75cl,Pinot Noir,France,Red,Light Reds,Now - End 2024,Guy Andrieu and Kim Tidy,14.99,51,4.2 out of 5 stars from 51 customers,https://www.virginwines.co.uk/wine/Z41487103464/La-Penombre-Reserve-Pinot-Noir-Tete-de-Cuvee
Domaine de la Semellerie Chinon Rouge 2020,2020,13.00%,75cl,Cabernet Franc,France,Red,Light Reds,Now - End 2026,Fabrice Delalande,10.99,7,3.9 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z41457101935/Domaine-de-la-Semellerie-Chinon-Rouge
Ungrafted Itata Old Vine Cinsault 2020,2020,13.50%,75cl,Cinsault,Chile,Red,Light Reds,Now - End 2024,Nicolas Perez and Marco Antonio de Martino,14.99,4,4 out of 5 stars from 4 customers,https://www.virginwines.co.uk/wine/Z41313100741/Ungrafted-Itata-Old-Vine-Cinsault
Lergenmuller Pinot Noir Trocken 2019,2019,13.50%,75cl,Pinot Noir,Germany,Red,Light Reds,Now - End 2024,Juergen Lergenmuller,13.99,12,4.2 out of 5 stars from 12 customers,https://www.virginwines.co.uk/wine/Z41599102465/Lergenmuller-Pinot-Noir-Trocken
Campo Bonito Blanco 2020,2020,12.00%,75cl,Other white grapes,Spain,White,Aromatic Whites,Now - End 2023,Jorge Martinez,9.99,173,3.9 out of 5 stars from 173 customers,https://www.virginwines.co.uk/wine/Z41426101434/Campo-Bonito-Blanco-Z41426101434
Weingut Schales Silvaner Eiswein 2016,2016,7.00%,37.5cl,Other white grapes,Germany,Dessert,Dessert Wine,Now - End 2051,Christian Schales,49.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41601102465/Weingut-Schales-Silvaner-Eiswein
Lergenmuller Dornfelder Trocken 2018,2018,13.00%,75cl,Other red grapes,Germany,Red,Light Reds,Now - End 2024,Juergen Lergenmuller,12.99,5,3.6 out of 5 stars from 5 customers,https://www.virginwines.co.uk/wine/Z41600102465/Lergenmuller-Dornfelder-Trocken
Champagne Louis Roederer Collection 242 NV,NV,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Within 6 years of purchase,Jean-Baptiste Lecaillon,52,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41591100121/Champagne-Louis-Roederer-Collection-242
L'Artisan Grenache Syrah 2020,2020,13.50%,75cl,Grenache / Garnacha blend,France,Red,Light Reds,Now - End 2026,Maureen Paillet,9.99,196,4.2 out of 5 stars from 196 customers,https://www.virginwines.co.uk/wine/Z41467101414/LArtisan-Grenache-Syrah
Rippasimento 2020,2020,14.50%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2025,David King,10.99,196,4.4 out of 5 stars from 196 customers,https://www.virginwines.co.uk/wine/Z41479101414/Rippasimento
De Martino Old Vine Series Las Olvidadas 2019,2019,13.00%,75cl,Other red grapes,Chile,Red,Full Bodied Reds,Now - End 2028,Nicolas Perez,29.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41317100741/De-Martino-Old-Vine-Series-Las-Olvidadas
Domaine Baillie Giral Grenache Noir 2020,2020,14.50%,75cl,Grenache / Garnacha,France,Red,Full Bodied Reds,Now - End 2024,Michel Baillie,12.99,40,4.6 out of 5 stars from 40 customers,https://www.virginwines.co.uk/wine/Z41486103465/Domaine-Baillie-Giral-Grenache-Noir
Le Pont de Diable Syrah Grenache 2021,2021,13.00%,75cl,Syrah / Shiraz blend,France,Red,Full Bodied Reds,Now - End 2025,Maureen Paillet,10.99,222,4.2 out of 5 stars from 222 customers,https://www.virginwines.co.uk/wine/Z41454101414/Le-Pont-de-Diable-Syrah-Grenache
The Intrepid Bear Reserve Zinfandel 2020,2020,13.50%,75cl,Zinfandel / Primitivo,USA,Red,Full Bodied Reds,Now - End 2023,Natale Gagliardo,11.99,89,3.8 out of 5 stars from 89 customers,https://www.virginwines.co.uk/wine/Z41319101414/The-Intrepid-Bear-Reserve-Zinfandel
Ungrafted Itata Old Vine Dry Muscat 2020,2020,13.00%,75cl,Muscat,Chile,White,Aromatic Whites,Now - End 2023,Nicolas Perez,14.99,3,2.7 out of 5 stars from 3 customers,https://www.virginwines.co.uk/wine/Z41314100741/Ungrafted-Itata-Old-Vine-Dry-Muscat
Cascading Cloud Shiraz Malbec 2021,2021,14.00%,75cl,Syrah / Shiraz blend,South Africa,Red,Full Bodied Reds,Now - End 2026,Nadia Engelbrecht,10.99,157,4 out of 5 stars from 157 customers,https://www.virginwines.co.uk/wine/Z41453101414/Cascading-Cloud-Shiraz-Malbec
Curious Parallel Feteasca Neagra 2020,2020,13.50%,75cl,Feteasca Neagra,Romania,Red,Full Bodied Reds,Now - End 2024,Hartley Smithers,9.99,223,4 out of 5 stars from 223 customers,https://www.virginwines.co.uk/wine/Z41081101434/Curious-Parallel-Feteasca-Neagra
Heinrichshof Sonnenuhr Beerenauslese Riesling Mosel 2019,2019,7.50%,37.5cl,Riesling,Germany,Dessert,Dessert Wine,Now - End 2039,Peter Griebeler,26.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41358102619/Heinrichshof-Sonnenuhr-Beerenauslese-Riesling-Mosel
Chateau Tournebrise Lalande-De-Pomerol 2019,2019,14.00%,75cl,Merlot blends,France,Red,Classic Reds,Now - End 2029,Emeric Petit,19.99,7,4.7 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z41254100783/Chateau-Tournebrise-Lalande-De-Pomerol
Ulrich Langguth Riesling Auslese Harmonie 2019,2019,8.00%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2039,Peter Burens,24.99,2,3.5 out of 5 stars from 2 customers,https://www.virginwines.co.uk/wine/Z41269101465/Ulrich-Langguth-Riesling-Auslese-Harmonie
Equipo Navazos La Bota 99 Florpower Single Vineyard 2019,2019,11.50%,75cl,Palomino,Spain,Sherry,Sherry,Now - End 2023,,26.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41360101434/Equipo-Navazos-La-Bota-99-Florpower-Single-Vineyard
Hans Lang Hattenheim Hassel Riesling Beerenauslese 2001,2001,8.00%,37.5cl,Riesling,Germany,Dessert,Dessert Wine,Now - End 2026,Hans Lang,24.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z41270101465/Hans-Lang-Hattenheim-Hassel-Riesling-Beerenauslese
5OS Project Pinot Noir 2019,2019,13.00%,75cl,Pinot Noir,Australia,Red,Light Reds,Now - End 2027,Steve Grimley,17.99,3,4.7 out of 5 stars from 3 customers,https://www.virginwines.co.uk/wine/Z41296102291/5OS-Project-Pinot-Noir
Tall Gum Reserve Grenache Shiraz Mataro 2020,2020,14.50%,75cl,Grenache / Garnacha blend,Australia,Red,Full Bodied Reds,Now - End 2025,Giles Cooke MW,16.99,45,4.1 out of 5 stars from 45 customers,https://www.virginwines.co.uk/wine/Z41110101434/Tall-Gum-Reserve-Grenache-Shiraz-Mataro
Chateau Grand Moulinet Pomerol 2018,2018,14.50%,75cl,Merlot,France,Red,Classic Reds,Now - End 2028,The Ollet-Fourreau Family,29.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z41252100783/Chateau-Grand-Moulinet-Pomerol
Paul Hobbs Sonoma Coast Crossbarn Pinot Noir 2018,2018,15.00%,75cl,Pinot Noir,USA,Red,Light Reds,Now - End 2027,Paul Hobbs,37.99,3,4.7 out of 5 stars from 3 customers,https://www.virginwines.co.uk/wine/Z41441101434/Paul-Hobbs-Sonoma-Coast-Crossbarn-Pinot-Noir
Bogle Vineyards Old Vine Zinfandel 2018,2018,14.50%,75cl,Zinfandel / Primitivo,USA,Red,Full Bodied Reds,Now - End 2027,Dana Stemmler,17.99,14,4.6 out of 5 stars from 14 customers,https://www.virginwines.co.uk/wine/Z41444102951/Bogle-Vineyards-Old-Vine-Zinfandel
Coastal Vines Brut Cuvee NV,NV,12.00%,75cl,Chardonnay blend,USA,Sparkling,Sparkling Non Champagne,Within 1 year of purchase,Michael Alley,12.99,22,3.6 out of 5 stars from 22 customers,https://www.virginwines.co.uk/wine/Z41461101414/Coastal-Vines-Brut-Cuvee
Paul Hobbs Sonoma Coast Crossbarn Chardonnay 2019,2019,14.00%,75cl,Chardonnay,USA,White,Dry and Crisp Whites,Now - End 2029,Paul Hobbs,29.99,3,3 out of 5 stars from 3 customers,https://www.virginwines.co.uk/wine/Z41440101434/Paul-Hobbs-Sonoma-Coast-Crossbarn-Chardonnay
Black Flag Winemakers McLaren Vale Malbec Durif 2017,2017,14.00%,75cl,Malbec blend,Australia,Red,Full Bodied Reds,Now - End 2027,Steve Grimley,21.99,44,4.1 out of 5 stars from 44 customers,https://www.virginwines.co.uk/wine/Z40930102291/Black-Flag-Winemakers-McLaren-Vale-Malbec-Durif
Chateau Bernot Blanc 2020,2020,11.50%,75cl,Sauvignon Blanc,France,White,Dry and Crisp Whites,Now - End 2023,Emile Bernard,11.99,18,3.8 out of 5 stars from 18 customers,https://www.virginwines.co.uk/wine/Z41304103431/Chateau-Bernot-Blanc-Z41304103431
Curious Parallel Feteasca Regala 2020,2020,11.50%,75cl,Other white grapes,Romania,White,Fruity Whites,Now - End 2023,Hartley Smithers,9.99,158,3.9 out of 5 stars from 158 customers,https://www.virginwines.co.uk/wine/Z41080101434/Curious-Parallel-Feteasca-Regala
Tuffers' Tipple Margaret River Shiraz 2019,2019,14.50%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2025,Frank Tate,18.99,42,3.9 out of 5 stars from 42 customers,https://www.virginwines.co.uk/wine/Z41074103330/Tuffers-Tipple-Margaret-River-Shiraz
MLBC Earth & Sun Malbec 2021,2021,14.00%,75cl,Malbec,Argentina,Red,Full Bodied Reds,Now - End 2027,Stephen Huse,11.99,404,4.3 out of 5 stars from 404 customers,https://www.virginwines.co.uk/wine/Z41228101414/MLBC-Earth-and-Sun-Malbec
Tuffers' Tipple Margaret River Sauvignon Blanc 2021,2021,12.50%,75cl,Sauvignon blend,Australia,White,Fruity Whites,Now - End 2025,Frank Tate,11.99,46,3.7 out of 5 stars from 46 customers,https://www.virginwines.co.uk/wine/Z41075103330/Tuffers-Tipple-Margaret-River-Sauvignon-Blanc
Chateau Bernot Rose 2020,2020,13.50%,75cl,Cabernet Franc Blend,France,Rosé,Dry and Fruity Rosé,Now - End 2023,Emile Bernard,11.99,26,4.4 out of 5 stars from 26 customers,https://www.virginwines.co.uk/wine/Z41305103431/Chateau-Bernot-Rose-Z41305103431
Tuffers' Tipple Gascogne Sauvignon Blanc 2020,2020,12.50%,75cl,Sauvignon Blanc,France,White,Fruity Whites,Now - End 2025,Boris Kovac,11.99,48,3.9 out of 5 stars from 48 customers,https://www.virginwines.co.uk/wine/Z41255103330/Tuffers-Tipple-Gascogne-Sauvignon-Blanc
Tuffers' Tipple GSM 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2027,Boris Kovac,12.99,49,3.5 out of 5 stars from 49 customers,https://www.virginwines.co.uk/wine/Z41315103330/Tuffers-Tipple-GSM
Tuffers' Tipple Oaked Tempranillo 2019,2019,13.00%,75cl,Tempranillo (Rioja),Spain,Red,Full Bodied Reds,Now - End 2026,Fernando Castro Alcarazo,12.99,40,3.8 out of 5 stars from 40 customers,https://www.virginwines.co.uk/wine/Z41316103330/Tuffers-Tipple-Oaked-Tempranillo
Le Zeitgeist Grenache Mourvedre 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2026,Maureen Paillet,10.99,152,4 out of 5 stars from 152 customers,https://www.virginwines.co.uk/wine/Z41180101414/Le-Zeitgeist-Grenache-Mourvedre
Tuffers' Tipple Bacchus 2020,2020,11.00%,75cl,Other white grapes,England,White,Aromatic Whites,Now - End 2023,The English Vine Team,11.99,25,3.9 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z41306103330/Tuffers-Tipple-Bacchus
Black Flag Winemakers Mount Gambier Sauvignon Blanc 2020,2020,12.50%,75cl,Sauvignon Blanc,Australia,White,Fruity Whites,Now - End 2023,Steve Grimley,13.99,25,3.8 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z41141102291/Black-Flag-Winemakers-Mount-Gambier-Sauvignon-Blanc
Chateau Teyssier Pezat Bordeaux Blanc 2019,2019,13.00%,75cl,Sauvignon blend,France,White,Dry and Crisp Whites,Now - End 2023,Jonathan Maltus,12.99,7,4.1 out of 5 stars from 7 customers,https://www.virginwines.co.uk/wine/Z41378103443/Chateau-Teyssier-Pezat-Bordeaux-Blanc
Chateau Teyssier Pezat Bordeaux Superieur 2018,2018,15.00%,75cl,Merlot blends,France,Red,Full Bodied Reds,Now - End 2028,Jonathan Maltus,14.99,11,3.9 out of 5 stars from 11 customers,https://www.virginwines.co.uk/wine/Z41377103443/Chateau-Teyssier-Pezat-Bordeaux-Superieur
Equipo Navazos La Bota 92 Palo Cortado 'Pata de Gallina' NV,NV,20.50%,50cl,Palomino,Spain,Sherry,Sherry,Within 3 years of purchase,,54.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41362101434/Equipo-Navazos-La-Bota-92-Palo-Cortado-Pata-de-Gallina
Equipo Navazos La Bota 95 Amontillado NV,NV,18.50%,75cl,Palomino,Spain,Sherry,Sherry,Within 5 years of purchase,,49.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41361101434/Equipo-Navazos-La-Bota-95-Amontillado
Marsc Wine Company Margaret River Sauvignon Blanc Semillon 2020,2020,13.00%,75cl,Sauvignon blend,Australia,White,Fruity Whites,Now - End 2025,Steve Grimley,13.99,51,3.9 out of 5 stars from 51 customers,https://www.virginwines.co.uk/wine/Z41140102291/Marsc-Wine-Company-Margaret-River-Sauvignon-Blanc-Semillon
Zafferino Pinot Grigio 2021,2021,12.50%,75cl,Pinot Grigio,Italy,White,Dry and Crisp Whites,Now - End 2024,Ivano Emiliani,9.99,12,4.6 out of 5 stars from 12 customers,https://www.virginwines.co.uk/wine/Z41949101414/Zafferino-Pinot-Grigio-Z41949101414
Domaine La Haute Fevrie Clos de la Fevrie Muscadet Sevre et Maine Sur Lie 2020,2020,12.00%,75cl,Melon,France,White,Dry and Crisp Whites,Now - End 2025,Sebastien Branger,13.99,19,4.6 out of 5 stars from 19 customers,https://www.virginwines.co.uk/wine/Z41067102131/Domaine-La-Haute-Fevrie-Clos-de-la-Fevrie-Muscadet-Sevre-et-Maine-Sur-Lie-Z41067102131
Tenuta Scopetani Chianti 2018,2018,13.00%,75cl,Sangiovese blend,Italy,Red,Classic Reds,Now - End 2028,Emiliano Falsini,15.99,40,3.8 out of 5 stars from 40 customers,https://www.virginwines.co.uk/wine/Z41037102455/Tenuta-Scopetani-Chianti
Black Flag Winemakers Langhorne Creek Adelaide Hills Shiraz Pinot Noir 2018,2018,14.50%,75cl,Syrah / Shiraz blend,Australia,Red,Full Bodied Reds,Now - End 2027,Steve Grimley,12.99,80,4.3 out of 5 stars from 80 customers,https://www.virginwines.co.uk/wine/Z40923102291/Black-Flag-Winemakers-Langhorne-Creek-Adelaide-Hills-Shiraz-Pinot-Noir
Bodegas Hidalgo La Gitana En Rama Spring 2021 Release NV,NV,15.00%,75cl,Palomino,Spain,Sherry,Sherry,Within 4 years of purchase,Javier Hidalgo,16.99,0,0 out of 5 stars from 0 customers,https://www.virginwines.co.uk/wine/Z41367100003/Bodegas-Hidalgo-La-Gitana-En-Rama-Spring-2021-Release
L'Olivette Colombard Sauvignon 2020,2020,11.50%,75cl,Colombard blend,France,White,Dry and Crisp Whites,Now - End 2023,Frederic Garrabou,11.99,21,3.9 out of 5 stars from 21 customers,https://www.virginwines.co.uk/wine/Z41253101434/LOlivette-Colombard-Sauvignon
Henners Foxearle English Sparkling Brut 2016,2016,12.50%,75cl,Champagne blend,England,Sparkling,English Sparkling Wine,Now - End 2032,Collette O'Leary,39.99,22,4.5 out of 5 stars from 22 customers,https://www.virginwines.co.uk/wine/Z41076100009/Henners-Foxearle-English-Sparkling-Brut
Alchemy 50 Year Old Vine Carignan 2019,2019,14.00%,75cl,Carignan,France,Red,Full Bodied Reds,Now - End 2029,Boris Kovac,13.99,20,4 out of 5 stars from 20 customers,https://www.virginwines.co.uk/wine/Z41223103330/Alchemy-50-Year-Old-Vine-Carignan
La Sirene Grenache Mourvedre 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Full Bodied Reds,Now - End 2025,Maureen Paillet,10.99,106,4.2 out of 5 stars from 106 customers,https://www.virginwines.co.uk/wine/Z41291101414/La-Sirene-Grenache-Mourvedre
