rating,num_review,wine_type,size (cL),name,price,country,abv,year,url
0.0,0,white,75.0,Muros Antigos Escolha,7.98,Portugal,12.0,2021.0,https://www.decantalo.com/uk/en/muros-antigos-escolha.html#/1-volume-75_cl/201-year-2021
5.0,2,white,75.0,Paco & Lola Prime,15.92,Spain,12.5,2019.0,https://www.decantalo.com/uk/en/paco--lola-prime.html#/1-volume-75_cl/114-year-2019
5.0,2,white,75.0,Marqués de Cáceres Verdejo,7.98,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/marques-de-caceres-verdejo.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Livio Felluga Pinot Grigio,21.89,Italy,13.0,2021.0,https://www.decantalo.com/uk/en/livio-felluga-pinot-grigio.html#/1-volume-75_cl/201-year-2021
3.0,1,white,75.0,Domaine Nathalie et Gilles Fevre Chablis,16.0,France,12.5,2021.0,https://www.decantalo.com/uk/en/domaine-nathalie-et-gilles-fevre-chablis.html#/1-volume-75_cl/201-year-2021
4.7,12,white,75.0,Txomin Etxaniz,11.54,Spain,11.0,2021.0,https://www.decantalo.com/uk/en/txomin-etxaniz.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Gaba do Xil O Barreiro,13.0,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/gaba-do-xil-godello.html#/1-volume-75_cl/201-year-2021
5.0,2,white,75.0,Marqués de Riscal Sauvignon Blanc,12.31,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/marques-de-riscal-sauvignon-blanc.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Marmellans Blanc,6.65,Spain,13.0,,https://www.decantalo.com/uk/en/marmellans-blanc.html#/1-volume-75_cl/177-year-without_vintage
0.0,0,white,75.0,Feudi di San Gregorio Falanghina,11.24,Italy,12.5,2021.0,https://www.decantalo.com/uk/en/feudi-di-san-gregorio-falanghina.html#/1-volume-75_cl/201-year-2021
4.5,2,white,75.0,Attis,14.67,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/attis.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Los Frailes Blanc de Trilogía,11.03,Spain,14.5,2021.0,https://www.decantalo.com/uk/en/los-frailes-blanc-de-trilogia.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Amós Bañeres Hey!,13.73,Spain,10.5,2021.0,https://www.decantalo.com/uk/en/amos-baneres-hey.html#/1-volume-75_cl/201-year-2021
4.5,2,white,75.0,Marc Brédif Vouvray Classic,16.43,France,12.5,2021.0,https://www.decantalo.com/uk/en/marc-bredif-vouvray-classic.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Viña Albina Semidulce Cosecha,7.29,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/vina-albina-semidulce-cosecha.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,La Bastid,21.19,Spain,13.5,2020.0,https://www.decantalo.com/uk/en/la-bastid.html#/1-volume-75_cl/158-year-2020
5.0,1,white,75.0,Solà Fred Blanc,8.07,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/sola-fred-blanc.html#/1-volume-75_cl/201-year-2021
5.0,3,white,75.0,Finca La Colina Verdejo Cien x Cien,11.67,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/finca-la-colina-verdejo.html#/1-volume-75_cl/201-year-2021
4.0,2,white,75.0,Carrasviñas Verdejo,9.35,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/carrasvinas-verdejo.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Mara Martín,10.25,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/mara-martin.html#/1-volume-75_cl/201-year-2021
5.0,2,white,75.0,Viñas de Gaín Blanco,18.58,Spain,13.5,2018.0,https://www.decantalo.com/uk/en/vinas-de-gain-blanco.html#/1-volume-75_cl/111-year-2018
