name,Mix Case?,abv,year,size,country,wine_type,price,num_review,rating,url
Collezione di Paolo Chianti 2020,0,13.0,2020,750.0,Italy,Red Wine,11.99,387,3.7,https://www.laithwaites.co.uk/product/Collezione-di-Paolo-Chianti-2020/0019520
Domaine Saint Martin Cabernet Sauvignon 2020,0,14.5,2020,750.0,France,Red Wine,9.99,86,3.4,https://www.laithwaites.co.uk/product/Domaine-Saint-Martin-Cabernet-Sauvignon-2020/3964020
Finca Libertad Tinto NV,0,13.5,NV,750.0,Spain,Red Wine,8.49,165,3.3,https://www.laithwaites.co.uk/product/Finca-Libertad-Tinto-2020/3942020
Viña del Portillo Reserva 2015,0,14.0,2015,750.0,Spain,Red Wine,10.99,20,3.4,https://www.laithwaites.co.uk/product/Vi%C3%B1a-del-Portillo-Reserva-2015/3590115
Baía de Tróia Castelão 2020,0,15.0,2020,750.0,Portugal,Red Wine,12.99,567,4.5,https://www.laithwaites.co.uk/product/Ba%C3%ADa-de-Tr%C3%B3ia-Castel%C3%A3o-2020/3497020
El Bombero 2021,0,14.5,2021,750.0,Spain,Red Wine,10.99,2114,3.9,https://www.laithwaites.co.uk/product/El-Bombero-2021/0003921
w/o Frappato 2020,0,13.5,2020,750.0,Italy,Red Wine,11.99,159,3.9,https://www.laithwaites.co.uk/product/w/o-Frappato-2020/4160220
Le XV du Président 2021,0,14.0,2021,750.0,France,Red Wine,12.99,762,4.4,https://www.laithwaites.co.uk/product/Le-XV-du-Pr%C3%A9sident-2021/3310021
The Forefather Gran Selección Malbec Shiraz 2020,0,14.0,2020,750.0,Argentina,Red Wine,14.99,98,4.0,https://www.laithwaites.co.uk/product/The-Forefather-Gran-Selecci%C3%B3n-Malbec-Shiraz-2020/0399920
Don Cayetano Merlot 2021,0,12.5,2021,750.0,Chile,Red Wine,8.99,177,3.4,https://www.laithwaites.co.uk/product/Don-Cayetano-Merlot-2021/0064121
Il Papavero Primitivo 2020,0,13.5,2020,750.0,Italy,Red Wine,10.99,696,4.1,https://www.laithwaites.co.uk/product/Il-Papavero-Primitivo-2020/0121320
Cleanskin SA Cabernet Sauvignon 2020,0,14.0,2020,750.0,Australia,Red Wine,14.99,23,4.4,https://www.laithwaites.co.uk/product/Cleanskin-SA-Cabernet-Sauvignon-2020/4136220
Project Malbec 2021,0,13.0,2021,750.0,Argentina,Red Wine,8.99,127,3.8,https://www.laithwaites.co.uk/product/Project-Malbec-2021/3980021
Le Prince de Courthézon Côtes du Rhône 2020,0,14.0,2020,750.0,France,Red Wine,12.99,576,3.8,https://www.laithwaites.co.uk/product/Le-Prince-de-Courth%C3%A9zon-C%C3%B4tes-du-Rh%C3%B4ne-2020/0455720
Farinelli Rosso NV,0,12.5,NV,750.0,Italy,Red Wine,7.99,304,3.4,https://www.laithwaites.co.uk/product/Farinelli-Rosso-2020/2247120
Miravalles Estate Malbec 2021,0,13.5,2021,750.0,Argentina,Red Wine,8.99,,,https://www.laithwaites.co.uk/product/Miravalles-Estate-Malbec-2021/4205221
Pillastro Selezione d'Oro 2021,0,14.0,2021,750.0,Italy,Red Wine,15.49,607,4.5,https://www.laithwaites.co.uk/product/Pillastro-Selezione-d'Oro-2021/0307821
La Fonte d'Oro 2020,0,14.0,2020,750.0,Italy,Red Wine,14.99,242,4.5,https://www.laithwaites.co.uk/product/La-Fonte-d'Oro-2020/0307720
Concettina Rosso 2020,0,13.5,2020,750.0,Italy,Red Wine,10.99,10,4.7,https://www.laithwaites.co.uk/product/Concettina-Rosso-2020/4213920
Hand Select Cleanskin Cabernet Sauvignon 2021,0,14.0,2021,750.0,Australia,Red Wine,16.99,3,3.7,https://www.laithwaites.co.uk/product/Hand-Select-Cleanskin-Cabernet-Sauvignon-2021/4253321
Château Le Coin Bordeaux 2020,0,14.5,2020,750.0,France,Red Wine,13.99,411,3.7,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Le-Coin-Bordeaux-2020/0607720
Boscwood SA Petit Verdot Shiraz 2020,0,14.0,2020,750.0,Australia,Red Wine,12.99,105,3.7,https://www.laithwaites.co.uk/product/Boscwood-SA-Petit-Verdot-Shiraz-2020/4063920
The Waxed Bat (half bottle) 2021,0,14.0,2021,375.0,Argentina,Red Wine,5.99,,,https://www.laithwaites.co.uk/product/The-Waxed-Bat-(half-bottle)-2021/4109021
Tierras de la Fuente Organic Tempranillo Syrah 2020,0,13.5,2020,750.0,Spain,Red Wine,7.49,214,3.2,https://www.laithwaites.co.uk/product/Tierras-de-la-Fuente-Organic-Tempranillo-Syrah-2020/3178520
The Patriots Merlot 2021,0,12.5,2021,750.0,Chile,Red Wine,9.99,702,3.5,https://www.laithwaites.co.uk/product/The-Patriots-Merlot-2021/2257221
Grant Burge Corryton Park Cabernet Sauvignon 2019,0,14.5,2019,750.0,Australia,Red Wine,30.0,2,4.0,https://www.laithwaites.co.uk/product/Grant-Burge-Corryton-Park-Cabernet-Sauvignon-2019/4174119
Mach 2t Cabernet Petit Verdot 2021,0,14.5,2021,750.0,Australia,Red Wine,11.99,5,4.8,https://www.laithwaites.co.uk/product/Mach-2t-Cabernet-Petit-Verdot-2021/4204421
HJ Fabre Barrel Selection Patagonia Malbec 2020,0,14.5,2020,750.0,Argentina,Red Wine,17.99,241,4.2,https://www.laithwaites.co.uk/product/HJ-Fabre-Barrel-Selection-Patagonia-Malbec-2020/0232420
The Dip 2020,0,15.0,2020,750.0,Spain,Red Wine,10.99,205,4.2,https://www.laithwaites.co.uk/product/The-Dip-2020/4159120
Santa Magdalena Balduzzi 2020,0,13.5,2020,750.0,Chile,Red Wine,11.99,219,4.3,https://www.laithwaites.co.uk/product/Santa-Magdalena-Balduzzi-2020/4025520
Sancho Garcés Rioja 2020,0,14.0,2020,750.0,Spain,Red Wine,7.99,17,3.5,https://www.laithwaites.co.uk/product/Sancho-Garc%C3%A9s-Rioja-2020/4127920
Familia Martínez Bujanda Reserva 2015,0,14.0,2015,750.0,Spain,Red Wine,18.99,72,3.8,https://www.laithwaites.co.uk/product/Familia-Mart%C3%ADnez-Bujanda-Reserva-2015/2151715
Finca Libertad Tinto NV,0,13.5,NV,750.0,Spain,Red Wine,8.49,150,3.3,https://www.laithwaites.co.uk/product/Finca-Libertad-Tinto-2015/3942021
The Black Stump Reserve Shiraz 2021,0,14.5,2021,750.0,Australia,Red Wine,14.99,729,4.2,https://www.laithwaites.co.uk/product/The-Black-Stump-Reserve-Shiraz-2021/0287221
Château Moine Vieux Saint-Émilion Grand Cru 2016,0,14.0,2016,750.0,France,Red Wine,22.0,18,3.7,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Moine-Vieux-Saint-%C3%89milion-Grand-Cru-2016/4143116
Mystery Case - Reds,1,,,,,,,,,
La Chiamata Montepulciano d'Abruzzo 2019,0,13.5,2019,750.0,Italy,Red Wine,10.99,225,4.0,https://www.laithwaites.co.uk/product/La-Chiamata-Montepulciano-d'Abruzzo-2019/3969819
Uncle Zin 2019,0,14.5,2019,750.0,Italy,Red Wine,12.99,119,4.3,https://www.laithwaites.co.uk/product/Uncle-Zin-2019/3684319
Quinta do Espírito Santo 2020,0,15.0,2020,750.0,Portugal,Red Wine,11.49,685,4.0,https://www.laithwaites.co.uk/product/Quinta-do-Esp%C3%ADrito-Santo-2020/0061720
Saracosa Governo Rosso 2021,0,13.5,2021,750.0,Italy,Red Wine,18.49,537,4.5,https://www.laithwaites.co.uk/product/Saracosa-Governo-Rosso-2021/3119021
Maison Dominique Piron Beaujolais-Villages 2020,0,13.5,2020,750.0,France,Red Wine,14.49,70,4.1,https://www.laithwaites.co.uk/product/Maison-Dominique-Piron-Beaujolais-Villages-2020/2587020
Corsiero Nero 2021,0,13.5,2021,750.0,Italy,Red Wine,11.99,1843,4.2,https://www.laithwaites.co.uk/product/Corsiero-Nero-2021/1541021
Willy Willy Shiraz 2021,0,14.5,2021,750.0,Australia,Red Wine,11.99,1279,3.8,https://www.laithwaites.co.uk/product/Willy-Willy-Shiraz-2021/0017021
