name,abv,year,size (cL),country,wine_type,price,num_review,rating,url
Kraft des Landes Gruner Veltliner 2020,12.5,2020,75.0,Austria,White,13.99,65,4.2,https://www.virginwines.co.uk/wine/Z41532101434/Kraft-des-Landes-Gruner-Veltliner
The Benevolent Cabernet Merlot Petit Verdot 2021,14.0,2021,75.0,Australia,Red,11.99,8,3.2,https://www.virginwines.co.uk/wine/Z41882101414/The-Benevolent-Cabernet-Merlot-Petit-Verdot
Tall Gum Sauvignon Blanc 2021,13.0,2021,75.0,Australia,White,11.99,0,0.0,https://www.virginwines.co.uk/wine/Z42074101414/Tall-Gum-Sauvignon-Blanc
Hattingley Valley Classic Reserve Brut NV,12.0,NV,75.0,England,Sparkling,32.0,7,4.1,https://www.virginwines.co.uk/wine/Z38402102951/Hattingley-Valley-Classic-Reserve-Brut
The Cup & Rings Mencia 2016,13.0,2016,75.0,Spain,Red,14.99,1,1.0,https://www.virginwines.co.uk/wine/Z41946103510/The-Cup-and-Rings-Mencia
The Benevolent Pinot Grigio 2021,9.5,2021,75.0,Chile,White,11.99,20,4.5,https://www.virginwines.co.uk/wine/Z41883101414/The-Benevolent-Pinot-Grigio
Albacore Reserve Shiraz 2020,14.0,2020,75.0,Australia,Red,12.99,3050,4.4,https://www.virginwines.co.uk/wine/Z36773102291/Albacore-Reserve-Shiraz-Z36773102291
Weingut Langguth Enkircher Ellergrub Riesling Alte Reben 2020,11.0,2020,75.0,Germany,White,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z41994101465/Weingut-Langguth-Enkircher-Ellergrub-Riesling-Alte-Reben
Litmus Element 20 2014,12.0,2014,75.0,England,White,19.99,18,3.8,https://www.virginwines.co.uk/wine/Z39697103059/Litmus-Element-20
La Traversee 2018,14.0,2018,75.0,France,Red,29.99,97,4.6,https://www.virginwines.co.uk/wine/Z35989100707/La-Traversee
Chateau Musar Hochar Pere et Fils 2018,14.0,2018,75.0,Lebanon,Red,17.99,45,4.3,https://www.virginwines.co.uk/wine/Z40237101961/Chateau-Musar-Hochar-Pere-et-Fils
El Zumbido Viura 2021,12.0,2021,75.0,Spain,White,9.99,2345,3.9,https://www.virginwines.co.uk/wine/Z37554102647/El-Zumbido-Viura
Bastions V Shiraz 2021,14.0,2021,75.0,South Africa,Red,10.99,1223,4.2,https://www.virginwines.co.uk/wine/Z37423100009/Bastions-V-Shiraz
Reserve de Millenaire Tete de Cuvee Bourgogne Blanc 2020,13.0,2020,75.0,France,White,11.99,402,3.8,https://www.virginwines.co.uk/wine/Z33818100780/Reserve-de-Millenaire-Tete-de-Cuvee-Bourgogne-Blanc
Finca Manzanos Seleccion de la Familia Rioja 2020,13.5,2020,75.0,Spain,Red,11.99,2939,4.1,https://www.virginwines.co.uk/wine/Z35385101434/Finca-Manzanos-Seleccion-de-la-Familia-Rioja
Ulrich Langguth Piesporter Goldtropfchen Trocken Grosses Gewachs 2018,12.0,2018,75.0,Germany,White,24.99,0,0.0,https://www.virginwines.co.uk/wine/Z41995101465/Ulrich-Langguth-Piesporter-Goldtropfchen-Trocken-Grosses-Gewachs
Tuffers' Tipple Without a Paddle Chardonnay 2021,13.5,2021,75.0,Australia,White,12.99,0,0.0,https://www.virginwines.co.uk/wine/Z41844103330/Tuffers-Tipple-Without-a-Paddle-Chardonnay
La Serena Gemini Brunello di Montalcino DOCG Riserva 2016,15.0,2016,75.0,Italy,Red,69.99,0,0.0,https://www.virginwines.co.uk/wine/Z41964101935/La-Serena-Gemini-Brunello-di-Montalcino-DOCG-Riserva
The Comeback Kid Langhorne Creek Cabernet 2020,14.5,2020,75.0,Australia,Red,16.99,56,4.4,https://www.virginwines.co.uk/wine/Z41271102291/The-Comeback-Kid-Langhorne-Creek-Cabernet
Black Flag Winemakers Adelaide Hills Chardonnay 2020,13.0,2020,75.0,Australia,White,16.99,63,4.1,https://www.virginwines.co.uk/wine/Z39670102291/Black-Flag-Winemakers-Adelaide-Hills-Chardonnay
Three Gables Western Cape Cinsault Malbec 2021,13.5,2021,75.0,South Africa,Red,11.99,59,3.9,https://www.virginwines.co.uk/wine/Z41650100009/Three-Gables-Western-Cape-Cinsault-Malbec
Johann Wolf Pinot Gris 2020,12.5,2020,75.0,Germany,White,10.99,213,4.1,https://www.virginwines.co.uk/wine/Z37743102638/Johann-Wolf-Pinot-Gris
Sherwood Estate Stratum Pinot Noir 2020,13.0,2020,75.0,New Zealand,Red,13.99,59,4.0,https://www.virginwines.co.uk/wine/Z39721191434/Sherwood-Estate-Stratum-Pinot-Noir
Bendico Terre Siciliane Vermentino 2020,12.5,2020,75.0,Italy,White,9.99,602,4.1,https://www.virginwines.co.uk/wine/Z40137103167/Bendico-Terre-Siciliane-Vermentino-Z40137103167
Hiestand Asia de Cuba Riesling NV,10.5,NV,75.0,Germany,White,14.99,265,4.2,https://www.virginwines.co.uk/wine/Z37269102551/Hiestand-Asia-de-Cuba-Riesling
Que Syrah Syrah 2020,14.0,2020,75.0,USA,Red,10.99,690,3.9,https://www.virginwines.co.uk/wine/Z36441101414/Que-Syrah-Syrah
Chateau Macquin St Georges St Emilion 2018,14.5,2018,75.0,France,Red,16.99,63,4.3,https://www.virginwines.co.uk/wine/Z39811100780/Chateau-Macquin-St-Georges-St-Emilion
Tuffers' Tipple Up The Creek Shiraz 2020,14.0,2020,75.0,Australia,Red,12.99,1,4.0,https://www.virginwines.co.uk/wine/Z41843103330/Tuffers-Tipple-Up-The-Creek-Shiraz
La Serena Rosso di Montalcino DOC 2018,14.0,2018,75.0,Italy,Red,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z41963101935/La-Serena-Rosso-di-Montalcino-DOC
Seraph Sauvignon Blanc 2020,12.0,2020,75.0,France,White,11.99,2251,3.9,https://www.virginwines.co.uk/wine/Z33717100020/Seraph-Sauvignon-Blanc
Pizo Carinena 2021,14.0,2021,75.0,Spain,Red,9.99,2231,4.1,https://www.virginwines.co.uk/wine/Z37508102647/Pizo-Carinena
Chateau Dereszla Furmint Dry 2019,12.0,2019,75.0,Hungary,White,11.99,82,4.1,https://www.virginwines.co.uk/wine/Z37627102128/Chateau-Dereszla-Furmint-Dry
Billy Bosch Semillon 2021,13.0,2021,75.0,South Africa,White,9.99,774,4.2,https://www.virginwines.co.uk/wine/Z38405100009/Billy-Bosch-Western-Cape-Semillon
Vashon Estate Cabernet Sauvignon Merlot 2021,14.0,2021,75.0,Australia,Red,10.99,506,4.2,https://www.virginwines.co.uk/wine/Z36801102291/Vashon-Estate-Cabernet-Sauvignon-Merlot
Mountain View Marlborough Sauvignon Blanc 2020,9.5,2020,75.0,New Zealand,White,13.99,226,4.2,https://www.virginwines.co.uk/wine/Z38660100586/Mountain-View-Marlborough-Sauvignon-Blanc
Targa Rioja Organic Tempranillo Garnacha 2020,13.5,2020,75.0,Spain,Red,16.99,474,4.2,https://www.virginwines.co.uk/wine/Z39045101434/Targa-Rioja-Organic-Tempranillo-Garnacha
Perez Cruz Cabernet Sauvignon Reserva 2018,13.5,2018,75.0,Chile,Red,13.99,1826,4.3,https://www.virginwines.co.uk/wine/Z33510100826/Perez-Cruz-Cabernet-Sauvignon-Reserva
Pizo Garnacha Blanca 2020,13.0,2020,75.0,Spain,White,10.99,309,3.9,https://www.virginwines.co.uk/wine/Z41302102647/Pizo-Garnacha-Blanca
Champagne Laurent Perrier La Cuvee NV,12.0,NV,75.0,France,Sparkling,43.99,161,4.6,https://www.virginwines.co.uk/wine/Z37370101639/Champagne-Laurent-Perrier-La-Cuvee
Chateau de Lancyre La Rouviere Pic St Loup Blanc 2019,13.5,2019,75.0,France,White,14.99,22,4.1,https://www.virginwines.co.uk/wine/Z36763101434/Chateau-de-Lancyre-La-Rouviere-Pic-St-Loup-Blanc
5OS Project Nero Blend 2018,14.5,2018,75.0,Australia,Red,16.99,48,4.4,https://www.virginwines.co.uk/wine/Z37194102291/5OS-Project-Nero-Blend
Peter-Jakob Kuhn Rheinschiefer Hallgartgen Riesling Trocken 2019,12.0,2019,75.0,Germany,White,21.99,17,4.4,https://www.virginwines.co.uk/wine/Z40793103324/Peter-Jakob-Kuhn-Rheinschiefer-Hallgartgen-Riesling-Trocken
5oS Project McLaren Vale Shiraz Roussanne 2018,14.5,2018,75.0,Australia,Red,19.99,11,4.8,https://www.virginwines.co.uk/wine/Z40328102291/5OS-Project-McLaren-Vale-Shiraz-Roussanne
Kir Yianni Assyrtiko 2020,13.0,2020,75.0,Greece,White,14.99,32,4.3,https://www.virginwines.co.uk/wine/Z40795102951/Kir-Yianni-Assyrtiko
Olivier Leflaive Pernand-Vergelesses Rouge 2020,13.5,2020,75.0,France,Red,34.99,0,0.0,https://www.virginwines.co.uk/wine/Z42272102131/Olivier-Leflaive-Pernand-Vergelesses-Rouge
Domaine des Deux Roches Saint Veran Rives de Longsault 2019,13.5,2019,75.0,France,White,23.99,0,0.0,https://www.virginwines.co.uk/wine/Z42266102131/Saint-Veran-Rives-de-longsault-Des-Deux-Roches
Le Zeitgeist Grenache Syrah 2021,13.0,2021,75.0,France,Red,10.99,0,0.0,https://www.virginwines.co.uk/wine/Z42196101414/Le-Zeitgeist-Grenache-Syrah
Abel Mendoza Rioja DOCa Jarrarte Blanco 2021,14.0,2021,75.0,Spain,White,15.99,0,0.0,https://www.virginwines.co.uk/wine/Z42140101434/Abel-Mendoza-Rioja-DOCa-Jarrarte-Blanco
Capcanes Sense Cap DO Cava NV,11.5,NV,75.0,Spain,Sparkling,14.99,0,0.0,https://www.virginwines.co.uk/wine/Z42100101434/Capcanes-Sense-Cap-DO-Cava
Capcanes Mas Torto Garnacha 2020,11.5,2020,75.0,Spain,Red,24.99,0,0.0,https://www.virginwines.co.uk/wine/Z42099101434/Capcanes-Mas-Torto-Garnacha
De Martino Enigma 10 Special Edition 2021,14.0,2021,75.0,Chile,Red,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z42077100741/De-Martino-Enigma-10-Special-Edition
Magic & Bird Padthaway Shiraz 2021,14.0,2021,75.0,Australia,Red,16.99,2,5.0,https://www.virginwines.co.uk/wine/Z41930102291/Magic-and-Bird-Padthaway-Shiraz
Revino Montepulciano d'Abruzzo 2020,13.0,2020,75.0,Italy,Red,10.99,25,2.2,https://www.virginwines.co.uk/wine/Z42019100790/Revino-Montepulciano-dAbruzzo
Rustle & Hustle Wine Co. Langhorne Creek Shiraz 2021,14.5,2021,75.0,Australia,Red,11.99,12,4.2,https://www.virginwines.co.uk/wine/Z41913102291/Rustle-and-Hustle-Wine-Co.-Langhorne-Creek-Shiraz
The Pullhams Bin 22 Barossa Valley Shiraz 2022,14.0,2022,75.0,Australia,Red,19.99,92,4.6,https://www.virginwines.co.uk/wine/Z36686102291/The-Pullhams-Bin-22-Barossa-Valley-Shiraz
Vat 39 Clare Valley Shiraz Viognier 2019,14.0,2019,75.0,Australia,Red,17.99,30,4.5,https://www.virginwines.co.uk/wine/Z41288102291/Vat-39-Clare-Valley-Shiraz-Viognier-Z41288102291
Le Plaisir Blanc Roger Sabon Vin de France 2021,13.5,2021,75.0,France,White,14.99,0,0.0,https://www.virginwines.co.uk/wine/Z42244103391/Le-Plaisir-Blanc-Roger-Sabon-Vin-de-France
Penombre Reserve Cinsault Vieilles Vignes 2021,14.0,2021,75.0,France,Red,15.99,3,4.7,https://www.virginwines.co.uk/wine/Z42076103465/Penombre-Reserve-Cinsault-Vieilles-Vignes
Xavier Vignon 80 Year Old Mourvedre 2015,15.0,2015,75.0,France,Red,21.99,0,0.0,https://www.virginwines.co.uk/wine/Z41981103330/Xavier-Vignon-80-Year-Old-Mourvedre
Debut Chateauneuf-du-Pape 2018,15.0,2018,75.0,France,Red,29.99,0,0.0,https://www.virginwines.co.uk/wine/Z42058103330/Debut-Chateauneuf-du-Pape
Xavier Vignon 80 Year Old Grenache NV,15.0,NV,75.0,France,Red,21.99,2,3.0,https://www.virginwines.co.uk/wine/Z41980103330/Xavier-Vignon-80-Year-Old-Grenache
Le Sabounet Roger Sabon Vin de France 2021,14.0,2021,75.0,France,Red,14.99,0,0.0,https://www.virginwines.co.uk/wine/Z42245103391/Le-Sabounet-Roger-Sabon-Vin-de-France
Twin Pass Swartland Viognier 2021,14.0,2021,75.0,South Africa,White,12.99,18,3.7,https://www.virginwines.co.uk/wine/Z41984101414/Twin-Pass-Swartland-Viognier
Black Flag Winemakers Red Blend 2018,14.5,2018,75.0,Australia,Red,18.99,1,5.0,https://www.virginwines.co.uk/wine/Z42231102291/Black-Flag-Winemakers-Red-Blend-Z42231102291
Crowded Hour Shiraz 2018,15.0,2018,75.0,Australia,Red,15.99,0,0.0,https://www.virginwines.co.uk/wine/Z41357102291/Crowded-Hour-McLaren-Vale-Shiraz
Vanguard Perdeberg Cabernet Merlot 2021,14.5,2021,75.0,South Africa,Red,12.99,20,4.0,https://www.virginwines.co.uk/wine/Z41985101414/Vanguard-Perdeberg-Cabernet-Merlot
El Nubarron Pinot Noir 2021,12.5,2021,75.0,Chile,Red,11.99,0,0.0,https://www.virginwines.co.uk/wine/Z42059101414/El-Nubarron-Pinot-Noir
Ovington's Swartland Chardonnay 2021,12.5,2021,75.0,South Africa,White,9.99,17,3.8,https://www.virginwines.co.uk/wine/Z42075101414/Ovingtons-Swartland-Chardonnay
Hielo y Fuego Malbec 2021,13.0,2021,75.0,Chile,Red,10.99,2,3.5,https://www.virginwines.co.uk/wine/Z42066101414/Hielo-y-Fuego-Malbec
Weingut Brundlmayer Kamptal DAC Gruner Veltliner Terrassen 2021,12.0,2021,75.0,Austria,White,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z42147102131/Weingut-Brundlmayer-Kamptal-DAC-Gruner-Veltliner-Terrassen
Domaine Billaud-Simon Chablis Grand Cru Valmur 2020,13.5,2020,75.0,France,White,89.99,0,0.0,https://www.virginwines.co.uk/wine/Z42158102131/Domaine-Billaud-Simon-Chablis-Grand-Cru-Valmur
T754 Shiraz Malbec 2021,13.5,2021,75.0,South Africa,Red,10.99,4,2.5,https://www.virginwines.co.uk/wine/Z42073101414/T754-Shiraz-Malbec
Bodegas Luis Gurpegui Muga 50 Year Old Vine Garnacha 2020,13.5,2020,75.0,Spain,Red,19.99,1,5.0,https://www.virginwines.co.uk/wine/Z41845103330/Bodegas-Luis-Gurpegui-Muga-50-Year-Old-Vine-Garnacha
Schola Sarmenti Antieri Susumaniello IGT Salento 2020,15.0,2020,75.0,Italy,Red,16.99,0,0.0,https://www.virginwines.co.uk/wine/Z42072102454/Schola-Sarmenti-Antieri-Susumaniello-IGT-Salento
Weingut Brundlmayer Kamptal DAC Riesling Terrassen 2021,12.0,2021,75.0,Austria,White,19.99,0,0.0,https://www.virginwines.co.uk/wine/Z42146102131/Weingut-Brundlmayer-Kamptal-DAC-Riesling-Terrassen
Weingut Wittmann Kirschpiel Riesling Grosses Gewachs 2018,12.5,2018,75.0,Germany,White,54.99,0,0.0,https://www.virginwines.co.uk/wine/Z40792103324/Weingut-Wittmann-Kirschpiel-Riesling-Grosses-Gewachs
Champagne J.M.Gobillard et Fils Brut Rose NV,12.5,NV,75.0,France,Sparkling,34.99,11,4.5,https://www.virginwines.co.uk/wine/Z40796102951/Champagne-J.M.Gobillard-et-Fils-Brut-Rose
Loom SV McLaren Vale Grenache 2018,14.0,2018,75.0,Australia,Red,24.99,5,4.6,https://www.virginwines.co.uk/wine/Z40322102291/Loom-SV-McLaren-Vale-Grenache
McGuigan Zero Chardonnay Alcohol Free NV,0.0,NV,75.0,Australia,Low / Alcohol Free Wines,5.0,58,2.9,https://www.virginwines.co.uk/wine/Z40748100956/McGuigan-Zero-Chardonnay-Alcohol-Free
McGuigan Zero Rose Alcohol Free NV,0.0,NV,75.0,Australia,Low / Alcohol Free Wines,5.0,49,4.0,https://www.virginwines.co.uk/wine/Z40747100956/McGuigan-Zero-Rose-Alcohol-Free
McGuigan Zero Shiraz Alcohol Free NV,0.0,NV,75.0,Australia,Low / Alcohol Free Wines,5.0,57,2.8,https://www.virginwines.co.uk/wine/Z40746100956/McGuigan-Zero-Shiraz-Alcohol-Free
Krug Grande Cuvee 170th Edition NV,12.5,NV,75.0,France,Sparkling,182.0,0,0.0,https://www.virginwines.co.uk/wine/Z42121101524/Krug-Grande-Cuvee-170th-Edition
Three Gables Winemaker's Reserve Chenin Blanc 2021,13.0,2021,75.0,South Africa,White,10.99,997,4.1,https://www.virginwines.co.uk/wine/Z40460101414/Three-Gables-Winemakers-Reserve-Chenin-Blanc
Domaine la Bouissieres Beaumes de Venise 2020,15.0,2020,75.0,France,Red,18.99,14,4.8,https://www.virginwines.co.uk/wine/Z40506100834/Domaine-la-Bouissieres-Beaumes-de-Venise
Domaine la Bouissieres Gigondas 2020,15.0,2020,75.0,France,Red,24.99,5,3.8,https://www.virginwines.co.uk/wine/Z40508100834/Domaine-la-Bouissieres-Gigondas-Z40508100834
5OS Project Tempranillo Blend 2018,14.0,2018,75.0,Australia,Red,21.99,9,4.3,https://www.virginwines.co.uk/wine/Z40046102291/5OS-Project-Tempranillo-Blend
Famille Perrin Nature Cotes du Rhone 2020,14.5,2020,75.0,France,Red,15.99,23,3.9,https://www.virginwines.co.uk/wine/Z40701100089/Famille-Perrin-Nature-Cotes-du-Rhone
Cascina Adelaide Barolo DOCG Fossati 2017,14.5,2017,75.0,Italy,Red,54.99,6,4.2,https://www.virginwines.co.uk/wine/Z40559101434/Cascina-Adelaide-Barolo-DOCG-Fossati
The Watchmakers Tourbillion Reserve Malbec 2021,14.0,2021,75.0,Argentina,Red,11.99,838,4.3,https://www.virginwines.co.uk/wine/Z40413101414/The-Watchmakers-Tourbillion-Reserve-Malbec
La Fama Winemakers Reserve Malbec 2021,13.0,2021,75.0,Chile,Red,11.99,643,4.2,https://www.virginwines.co.uk/wine/Z40722101414/La-Fama-Winemakers-Reserve-Malbec
Vitalita delle Venezie DOC Pinot Grigio 2021,12.0,2021,75.0,Italy,White,10.99,112,3.9,https://www.virginwines.co.uk/wine/Z41940102449/Vitalita-delle-Venezie-DOC-Pinot-Grigio
Baixa Sirena DO Rias Baixas Albarino 2021,12.5,2021,75.0,Spain,White,15.99,6,4.7,https://www.virginwines.co.uk/wine/Z41892101434/Baixa-Sirena-DO-Rias-Baixas-Albarino
Tuffers' Tipple The D Blanquette de Limoux NV,12.0,NV,75.0,France,Sparkling,11.99,1,4.0,https://www.virginwines.co.uk/wine/Z41842103330/Tuffers-Tipple-The-D-Blanquette-de-Limoux
Santenay 1er Cru Clos Rousseau Jean-Baptiste Jessiaume 2019,13.0,2019,75.0,France,Red,39.99,0,0.0,https://www.virginwines.co.uk/wine/Z41922102128/Santenay-1er-Cru-Clos-Rousseau-Jean-Baptiste-Jessiaume
Volnay Jean-Baptiste Jessiaume 2019,13.0,2019,75.0,France,Red,39.99,0,0.0,https://www.virginwines.co.uk/wine/Z41923102128/Volnay-Jean-Baptiste-Jessiaume
Monos Locos Merlot 2021,13.0,2021,75.0,Chile,Red,9.99,22,4.2,https://www.virginwines.co.uk/wine/Z41846101414/Monos-Locos-Merlot-Z41846101414
De Martino Nuevo Mundo Organic Cabernet Sauvignon 2021,13.5,2021,75.0,Chile,Red,15.99,24,3.7,https://www.virginwines.co.uk/wine/Z41816100741/De-Martino-Nuevo-Mundo-Organic-Cabernet-Sauvignon
De Martino Nuevo Mundo Organic Sauvignon Blanc 2021,13.0,2021,75.0,Chile,White,15.99,34,3.8,https://www.virginwines.co.uk/wine/Z41817100741/De-Martino-Nuevo-Mundo-Organic-Sauvignon-Blanc
Monte Bernardi Sa'Etta Chianti Classico Riserva 2018,13.5,2018,75.0,Italy,Red,34.99,1,5.0,https://www.virginwines.co.uk/wine/Z41941103391/Monte-Bernardi-SaEtta-Chianti-Classico-Riserva
Three Gables Dry Farm Swartland Cabernet Sauvignon 2021,13.0,2021,75.0,South Africa,Red,9.99,95,4.1,https://www.virginwines.co.uk/wine/Z41566101414/Three-Gables-Dry-Farm-Swartland-Cabernet-Sauvignon
Tall Gum Reserve Tempranillo 2021,14.0,2021,75.0,Australia,Red,10.99,38,4.3,https://www.virginwines.co.uk/wine/Z41790101414/Tall-Gum-Reserve-Tempranillo-Z41790101414
Julien Barthazac Cremant de Bordeaux NV,12.0,NV,75.0,France,Sparkling,14.99,4,4.8,https://www.virginwines.co.uk/wine/Z41926103431/Julien-Barthazac-Cremant-de-Bordeaux
Black Flag Winemakers McLaren Vale Preservative Free Shiraz 2020,14.5,2020,75.0,Australia,Red,14.99,2,4.0,https://www.virginwines.co.uk/wine/Z41868102291/Black-Flag-Winemakers-McLaren-Vale-Preservative-Free-Shiraz
The Vinitor Chardonnay 2020,13.5,2020,75.0,USA,White,11.99,14,3.7,https://www.virginwines.co.uk/wine/Z41464101414/The-Vinitor-Chardonnay
Trois Calices Essentiel 2020,11.5,2020,75.0,France,White,10.99,388,4.1,https://www.virginwines.co.uk/wine/Z40457101414/Trois-Calices-Essentiel
Domaine Giraud Lirac 2019,15.0,2019,75.0,France,Red,17.99,19,4.1,https://www.virginwines.co.uk/wine/Z40513100834/Domaine-Giraud-Lirac-Z40513100834
Adega Ponte da Boga DO Ribeira Sacra Godello 2019,13.0,2019,75.0,Spain,White,14.99,7,4.3,https://www.virginwines.co.uk/wine/Z40560101434/Adega-Ponte-da-Boga-DO-Ribeira-Sacra-Godello
Domaine Giraud Chateauneuf-du-Pape Les Grenaches de Pierre 2019,15.5,2019,75.0,France,Red,66.49,2,5.0,https://www.virginwines.co.uk/wine/Z40510100834/Domaine-Giraud-Chateauneuf-du-Pape-Les-Grenaches-de-Pierre
