,name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score,retailer
26,Vinha do Fava Touriga Nacional 2020,14.5,2020,75,Portugal,Red,11.99,2442,4.3,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Touriga-Nacional-2020/3107520,PRT,11.99,1.078819183,11.99,2,4.3,laithwaites
27,Dark Corner Durif Shiraz 2021,14.5,2021,75,Australia,Red,11.99,1956,4.4,https://www.laithwaites.co.uk/product/Dark-Corner-Durif-Shiraz-2021/2161521,AUS,11.99,1.078819183,11.99,1,4.4,laithwaites
28,Ringland Shiraz 2019,15,2019,75,Australia,Red,17.99,4,4.8,https://www.laithwaites.co.uk/product/Ringland-Shiraz-2019/4210919,AUS,17.99,1.255031163,17.99,3,0,laithwaites
29,Inca Tree Malbec 2019,14,2019,75,Argentina,Red,14.99,50,3.5,https://www.laithwaites.co.uk/product/Inca-Tree-Malbec-2019/2157519,ARG,14.99,1.175801633,14.99,3,3.5,laithwaites
30,Edizione Speciale Numerata Chianti Numero 3 Particella 21 2020,13,2020,75,Italy,Red,16.99,74,4.2,https://www.laithwaites.co.uk/product/Edizione-Speciale-Numerata-Chianti-Numero-3-Particella-21-2020/3965820,ITA,16.99,1.230193379,16.99,2,4.2,laithwaites
31,Cabalié 3 litre Wine Box 2021,13,2021,300,France,Red,30,162,4.8,https://www.laithwaites.co.uk/product/Cabali%C3%A9-3-litre-Wine-Box-2021/4094521,FRA,7.5,0.875061263,30,1,4.8,laithwaites
32,Tenuta Fenice Nero d’Avola 2021,14,2021,75,Italy,Red,11.99,887,4.1,https://www.laithwaites.co.uk/product/Tenuta-Fenice-Nero-d%E2%80%99Avola-2021/3147021,ITA,11.99,1.078819183,11.99,1,4.1,laithwaites
33,Collezione di Paolo Chianti 2020,13,2020,75,Italy,Red,11.99,387,3.7,https://www.laithwaites.co.uk/product/Collezione-di-Paolo-Chianti-2020/0019520,ITA,11.99,1.078819183,11.99,2,3.7,laithwaites
34,Domaine Saint Martin Cabernet Sauvignon 2020,14.5,2020,75,France,Red,9.99,86,3.4,https://www.laithwaites.co.uk/product/Domaine-Saint-Martin-Cabernet-Sauvignon-2020/3964020,FRA,9.99,0.999565488,9.99,2,3.4,laithwaites
35,Finca Libertad Tinto NV,13.5,NV,75,Spain,Red,8.49,165,3.3,https://www.laithwaites.co.uk/product/Finca-Libertad-Tinto-2020/3942020,ESP,8.49,0.92890769,8.49,,3.3,laithwaites
36,Viña del Portillo Reserva 2015,14,2015,75,Spain,Red,10.99,20,3.4,https://www.laithwaites.co.uk/product/Vi%C3%B1a-del-Portillo-Reserva-2015/3590115,ESP,10.99,1.040997692,10.99,7,3.4,laithwaites
37,Baía de Tróia Castelão 2020,15,2020,75,Portugal,Red,12.99,567,4.5,https://www.laithwaites.co.uk/product/Ba%C3%ADa-de-Tr%C3%B3ia-Castel%C3%A3o-2020/3497020,PRT,12.99,1.113609151,12.99,2,4.5,laithwaites
38,El Bombero 2021,14.5,2021,75,Spain,Red,10.99,2114,3.9,https://www.laithwaites.co.uk/product/El-Bombero-2021/0003921,ESP,10.99,1.040997692,10.99,1,3.9,laithwaites
39,w/o Frappato 2020,13.5,2020,75,Italy,Red,11.99,159,3.9,https://www.laithwaites.co.uk/product/w/o-Frappato-2020/4160220,ITA,11.99,1.078819183,11.99,2,3.9,laithwaites
40,Le XV du Président 2021,14,2021,75,France,Red,12.99,762,4.4,https://www.laithwaites.co.uk/product/Le-XV-du-Pr%C3%A9sident-2021/3310021,FRA,12.99,1.113609151,12.99,1,4.4,laithwaites
41,The Forefather Gran Selección Malbec Shiraz 2020,14,2020,75,Argentina,Red,14.99,98,4,https://www.laithwaites.co.uk/product/The-Forefather-Gran-Selecci%C3%B3n-Malbec-Shiraz-2020/0399920,ARG,14.99,1.175801633,14.99,2,4,laithwaites
42,Don Cayetano Merlot 2021,12.5,2021,75,Chile,Red,8.99,177,3.4,https://www.laithwaites.co.uk/product/Don-Cayetano-Merlot-2021/0064121,CHL,8.99,0.953759692,8.99,1,3.4,laithwaites
43,Il Papavero Primitivo 2020,13.5,2020,75,Italy,Red,10.99,696,4.1,https://www.laithwaites.co.uk/product/Il-Papavero-Primitivo-2020/0121320,ITA,10.99,1.040997692,10.99,2,4.1,laithwaites
44,Cleanskin SA Cabernet Sauvignon 2020,14,2020,75,Australia,Red,14.99,23,4.4,https://www.laithwaites.co.uk/product/Cleanskin-SA-Cabernet-Sauvignon-2020/4136220,AUS,14.99,1.175801633,14.99,2,4.4,laithwaites
45,Project Malbec 2021,13,2021,75,Argentina,Red,8.99,127,3.8,https://www.laithwaites.co.uk/product/Project-Malbec-2021/3980021,ARG,8.99,0.953759692,8.99,1,3.8,laithwaites
46,Le Prince de Courthézon Côtes du Rhône 2020,14,2020,75,France,Red,12.99,576,3.8,https://www.laithwaites.co.uk/product/Le-Prince-de-Courth%C3%A9zon-C%C3%B4tes-du-Rh%C3%B4ne-2020/0455720,FRA,12.99,1.113609151,12.99,2,3.8,laithwaites
47,Farinelli Rosso NV,12.5,NV,75,Italy,Red,7.99,304,3.4,https://www.laithwaites.co.uk/product/Farinelli-Rosso-2020/2247120,ITA,7.99,0.902546779,7.99,,3.4,laithwaites
48,Miravalles Estate Malbec 2021,13.5,2021,75,Argentina,Red,8.99,,,https://www.laithwaites.co.uk/product/Miravalles-Estate-Malbec-2021/4205221,ARG,8.99,0.953759692,8.99,1,0,laithwaites
49,Pillastro Selezione d'Oro 2021,14,2021,75,Italy,Red,15.49,607,4.5,https://www.laithwaites.co.uk/product/Pillastro-Selezione-d'Oro-2021/0307821,ITA,15.49,1.190051418,15.49,1,4.5,laithwaites
50,La Fonte d'Oro 2020,14,2020,75,Italy,Red,14.99,242,4.5,https://www.laithwaites.co.uk/product/La-Fonte-d'Oro-2020/0307720,ITA,14.99,1.175801633,14.99,2,4.5,laithwaites
51,Concettina Rosso 2020,13.5,2020,75,Italy,Red,10.99,10,4.7,https://www.laithwaites.co.uk/product/Concettina-Rosso-2020/4213920,ITA,10.99,1.040997692,10.99,2,4.7,laithwaites
52,Hand Select Cleanskin Cabernet Sauvignon 2021,14,2021,75,Australia,Red,16.99,3,3.7,https://www.laithwaites.co.uk/product/Hand-Select-Cleanskin-Cabernet-Sauvignon-2021/4253321,AUS,16.99,1.230193379,16.99,1,0,laithwaites
53,Château Le Coin Bordeaux 2020,14.5,2020,75,France,Red,13.99,411,3.7,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Le-Coin-Bordeaux-2020/0607720,FRA,13.99,1.145817714,13.99,2,3.7,laithwaites
54,Boscwood SA Petit Verdot Shiraz 2020,14,2020,75,Australia,Red,12.99,105,3.7,https://www.laithwaites.co.uk/product/Boscwood-SA-Petit-Verdot-Shiraz-2020/4063920,AUS,12.99,1.113609151,12.99,2,3.7,laithwaites
55,The Waxed Bat (half bottle) 2021,14,2021,37.5,Argentina,Red,5.99,,,https://www.laithwaites.co.uk/product/The-Waxed-Bat-(half-bottle)-2021/4109021,ARG,11.98,1.078456818,5.99,1,0,laithwaites
56,Tierras de la Fuente Organic Tempranillo Syrah 2020,13.5,2020,75,Spain,Red,7.49,214,3.2,https://www.laithwaites.co.uk/product/Tierras-de-la-Fuente-Organic-Tempranillo-Syrah-2020/3178520,ESP,7.49,0.874481818,7.49,2,3.2,laithwaites
57,The Patriots Merlot 2021,12.5,2021,75,Chile,Red,9.99,702,3.5,https://www.laithwaites.co.uk/product/The-Patriots-Merlot-2021/2257221,CHL,9.99,0.999565488,9.99,1,3.5,laithwaites
58,Grant Burge Corryton Park Cabernet Sauvignon 2019,14.5,2019,75,Australia,Red,30,2,4,https://www.laithwaites.co.uk/product/Grant-Burge-Corryton-Park-Cabernet-Sauvignon-2019/4174119,AUS,30,1.477121255,30,3,0,laithwaites
59,Mach 2t Cabernet Petit Verdot 2021,14.5,2021,75,Australia,Red,11.99,5,4.8,https://www.laithwaites.co.uk/product/Mach-2t-Cabernet-Petit-Verdot-2021/4204421,AUS,11.99,1.078819183,11.99,1,0,laithwaites
60,HJ Fabre Barrel Selection Patagonia Malbec 2020,14.5,2020,75,Argentina,Red,17.99,241,4.2,https://www.laithwaites.co.uk/product/HJ-Fabre-Barrel-Selection-Patagonia-Malbec-2020/0232420,ARG,17.99,1.255031163,17.99,2,4.2,laithwaites
