name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Terres d'Arboras 2021,13.0,2021,75.0,France,Red Wine,13.49,72.0,4.5,https://www.laithwaites.co.uk/product/Terres-d'Arboras-2021/4147121,FRA,13.49,1.1300119496719043,13.49,1.0,4.5
Vinha do Fava Touriga Nacional 2020,14.5,2020,75.0,Portugal,Red Wine,11.99,2442.0,4.3,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Touriga-Nacional-2020/3107520,PRT,11.99,1.0788191830988487,11.99,2.0,4.3
Dark Corner Durif Shiraz 2021,14.5,2021,75.0,Australia,Red Wine,11.99,1956.0,4.4,https://www.laithwaites.co.uk/product/Dark-Corner-Durif-Shiraz-2021/2161521,AUS,11.99,1.0788191830988487,11.99,1.0,4.4
Ringland Shiraz 2019,15.0,2019,75.0,Australia,Red Wine,17.99,4.0,4.8,https://www.laithwaites.co.uk/product/Ringland-Shiraz-2019/4210919,AUS,17.99,1.2550311633455513,17.99,3.0,0.0
Inca Tree Malbec 2019,14.0,2019,75.0,Argentina,Red Wine,14.99,50.0,3.5,https://www.laithwaites.co.uk/product/Inca-Tree-Malbec-2019/2157519,ARG,14.99,1.1758016328482794,14.99,3.0,3.5
Edizione Speciale Numerata Chianti Numero 3 Particella 21 2020,13.0,2020,75.0,Italy,Red Wine,16.99,74.0,4.2,https://www.laithwaites.co.uk/product/Edizione-Speciale-Numerata-Chianti-Numero-3-Particella-21-2020/3965820,ITA,16.99,1.2301933788690456,16.99,2.0,4.2
Cabalié 3 litre Wine Box 2021,13.0,2021,300.0,France,Red Wine,30.0,162.0,4.8,https://www.laithwaites.co.uk/product/Cabali%C3%A9-3-litre-Wine-Box-2021/4094521,FRA,7.5,0.8750612633917001,30.0,1.0,4.8
Tenuta Fenice Nero d’Avola 2021,14.0,2021,75.0,Italy,Red Wine,11.99,887.0,4.1,https://www.laithwaites.co.uk/product/Tenuta-Fenice-Nero-d%E2%80%99Avola-2021/3147021,ITA,11.99,1.0788191830988487,11.99,1.0,4.1
Collezione di Paolo Chianti 2020,13.0,2020,75.0,Italy,Red Wine,11.99,387.0,3.7,https://www.laithwaites.co.uk/product/Collezione-di-Paolo-Chianti-2020/0019520,ITA,11.99,1.0788191830988487,11.99,2.0,3.7
Domaine Saint Martin Cabernet Sauvignon 2020,14.5,2020,75.0,France,Red Wine,9.99,86.0,3.4,https://www.laithwaites.co.uk/product/Domaine-Saint-Martin-Cabernet-Sauvignon-2020/3964020,FRA,9.99,0.9995654882259823,9.99,2.0,3.4
Finca Libertad Tinto NV,13.5,NV,75.0,Spain,Red Wine,8.49,165.0,3.3,https://www.laithwaites.co.uk/product/Finca-Libertad-Tinto-2020/3942020,ESP,8.49,0.9289076902439527,8.49,,3.3
