,name,wine_type,country,year,price,scaledprice,score,num_review,abv,size(cL),age,logprice
85,Revino Montepulciano d'Abruzzo 2020,Red,Italy,2020,10.99,10.99,2.2,25,13.0,75.0,2.0,1.0409976924234905
86,Rustle & Hustle Wine Co. Langhorne Creek Shiraz 2021,Red,Australia,2021,11.99,11.99,4.2,12,14.5,75.0,1.0,1.0788191830988487
87,The Pullhams Bin 22 Barossa Valley Shiraz 2022,Red,Australia,2022,19.99,19.99,4.6,92,14.0,75.0,0.0,1.300812794118117
88,Vat 39 Clare Valley Shiraz Viognier 2019,Red,Australia,2019,17.99,17.99,4.5,30,14.0,75.0,3.0,1.2550311633455513
89,Le Plaisir Blanc Roger Sabon Vin de France 2021,White,France,2021,14.99,14.99,0.0,0,13.5,75.0,1.0,1.1758016328482794
90,Penombre Reserve Cinsault Vieilles Vignes 2021,Red,France,2021,15.99,15.99,0.0,3,14.0,75.0,1.0,1.2038484637462348
91,Xavier Vignon 80 Year Old Mourvedre 2015,Red,France,2015,21.99,21.99,0.0,0,15.0,75.0,7.0,1.3422252293607904
92,Debut Chateauneuf-du-Pape 2018,Red,France,2018,29.99,29.99,0.0,0,15.0,75.0,4.0,1.476976465759527
93,Xavier Vignon 80 Year Old Grenache NV,Red,France,Non Vintage,21.99,21.99,0.0,2,15.0,75.0,,1.3422252293607904
94,Le Sabounet Roger Sabon Vin de France 2021,Red,France,2021,14.99,14.99,0.0,0,14.0,75.0,1.0,1.1758016328482794
95,Twin Pass Swartland Viognier 2021,White,South Africa,2021,12.99,12.99,3.7,18,14.0,75.0,1.0,1.113609151073028
96,Black Flag Winemakers Red Blend 2018,Red,Australia,2018,18.99,18.99,0.0,1,14.5,75.0,4.0,1.2785249647370176
97,Crowded Hour Shiraz 2018,Red,Australia,2018,15.99,15.99,0.0,0,15.0,75.0,4.0,1.2038484637462348
98,Vanguard Perdeberg Cabernet Merlot 2021,Red,South Africa,2021,12.99,12.99,4.0,20,14.5,75.0,1.0,1.113609151073028
99,El Nubarron Pinot Noir 2021,Red,Chile,2021,11.99,11.99,0.0,0,12.5,75.0,1.0,1.0788191830988487
100,Ovington's Swartland Chardonnay 2021,White,South Africa,2021,9.99,9.99,3.8,17,12.5,75.0,1.0,0.9995654882259823
101,Hielo y Fuego Malbec 2021,Red,Chile,2021,10.99,10.99,0.0,2,13.0,75.0,1.0,1.0409976924234905
102,Weingut Brundlmayer Kamptal DAC Gruner Veltliner Terrassen 2021,White,Austria,2021,19.99,19.99,0.0,0,12.0,75.0,1.0,1.300812794118117
103,Domaine Billaud-Simon Chablis Grand Cru Valmur 2020,White,France,2020,89.99,89.99,0.0,0,13.5,75.0,2.0,1.9541942518158624
104,T754 Shiraz Malbec 2021,Red,South Africa,2021,10.99,10.99,0.0,4,13.5,75.0,1.0,1.0409976924234905
105,Bodegas Luis Gurpegui Muga 50 Year Old Vine Garnacha 2020,Red,Spain,2020,19.99,19.99,0.0,0,13.5,75.0,2.0,1.300812794118117
106,Schola Sarmenti Antieri Susumaniello IGT Salento 2020,Red,Italy,2020,16.99,16.99,0.0,0,15.0,75.0,2.0,1.2301933788690456
107,Weingut Brundlmayer Kamptal DAC Riesling Terrassen 2021,White,Austria,2021,19.99,19.99,0.0,0,12.0,75.0,1.0,1.300812794118117
108,Weingut Wittmann Kirschpiel Riesling Grosses Gewachs 2018,White,Germany,2018,54.99,54.99,0.0,0,12.5,75.0,4.0,1.7402837196818792
109,Champagne J.M.Gobillard et Fils Brut Rose NV,Sparkling,France,Non Vintage,34.99,34.99,4.5,11,12.5,75.0,,1.5439439424829065
110,Loom SV McLaren Vale Grenache 2018,Red,Australia,2018,24.99,24.99,0.0,5,14.0,75.0,4.0,1.39776625612645
111,McGuigan Zero Chardonnay Alcohol Free NV,Low / Alcohol Free Wines,Australia,Non Vintage,5.0,5.0,2.9,58,0.0,75.0,,0.6989700043360189
112,McGuigan Zero Rose Alcohol Free NV,Low / Alcohol Free Wines,Australia,Non Vintage,5.0,5.0,4.0,49,0.0,75.0,,0.6989700043360189
113,McGuigan Zero Shiraz Alcohol Free NV,Low / Alcohol Free Wines,Australia,Non Vintage,5.0,5.0,2.8,57,0.0,75.0,,0.6989700043360189
114,Krug Grande Cuvee 170th Edition NV,Sparkling,France,Non Vintage,182.0,182.0,0.0,0,12.5,75.0,,2.2600713879850747
115,Three Gables Winemaker's Reserve Chenin Blanc 2021,White,South Africa,2021,10.99,10.99,4.1,996,13.0,75.0,1.0,1.0409976924234905
116,Domaine la Bouissieres Beaumes de Venise 2020,Red,France,2020,18.99,18.99,4.8,14,15.0,75.0,2.0,1.2785249647370176
117,Domaine la Bouissieres Gigondas 2020,Red,France,2020,24.99,24.99,0.0,5,15.0,75.0,2.0,1.39776625612645
118,5OS Project Tempranillo Blend 2018,Red,Australia,2018,21.99,21.99,4.3,9,14.0,75.0,4.0,1.3422252293607904
119,Famille Perrin Nature Cotes du Rhone 2020,Red,France,2020,15.99,15.99,3.9,23,14.5,75.0,2.0,1.2038484637462348
120,Cascina Adelaide Barolo DOCG Fossati 2017,Red,Italy,2017,54.99,54.99,4.2,6,14.5,75.0,5.0,1.7402837196818792
121,The Watchmakers Tourbillion Reserve Malbec 2021,Red,Argentina,2021,11.99,11.99,4.3,836,14.0,75.0,1.0,1.0788191830988487
122,La Fama Winemakers Reserve Malbec 2021,Red,Chile,2021,11.99,11.99,4.2,643,13.0,75.0,1.0,1.0788191830988487
123,Vitalita delle Venezie DOC Pinot Grigio 2021,White,Italy,2021,10.99,10.99,3.9,111,12.0,75.0,1.0,1.0409976924234905
124,Baixa Sirena DO Rias Baixas Albarino 2021,White,Spain,2021,15.99,15.99,4.7,6,12.5,75.0,1.0,1.2038484637462348
125,Tuffers' Tipple The D Blanquette de Limoux NV,Sparkling,France,Non Vintage,11.99,11.99,0.0,1,12.0,75.0,,1.0788191830988487
126,Santenay 1er Cru Clos Rousseau Jean-Baptiste Jessiaume 2019,Red,France,2019,39.99,39.99,0.0,0,13.0,75.0,3.0,1.6019514041335217
127,Volnay Jean-Baptiste Jessiaume 2019,Red,France,2019,39.99,39.99,0.0,0,13.0,75.0,3.0,1.6019514041335217
128,Monos Locos Merlot 2021,Red,Chile,2021,9.99,9.99,4.2,22,13.0,75.0,1.0,0.9995654882259823
129,De Martino Nuevo Mundo Organic Cabernet Sauvignon 2021,Red,Chile,2021,15.99,15.99,3.7,24,13.5,75.0,1.0,1.2038484637462348
130,De Martino Nuevo Mundo Organic Sauvignon Blanc 2021,White,Chile,2021,15.99,15.99,3.8,34,13.0,75.0,1.0,1.2038484637462348
131,Monte Bernardi Sa'Etta Chianti Classico Riserva 2018,Red,Italy,2018,34.99,34.99,0.0,1,13.5,75.0,4.0,1.5439439424829065
132,Three Gables Dry Farm Swartland Cabernet Sauvignon 2021,Red,South Africa,2021,9.99,9.99,4.1,95,13.0,75.0,1.0,0.9995654882259823
133,Tall Gum Reserve Tempranillo 2021,Red,Australia,2021,10.99,10.99,4.3,38,14.0,75.0,1.0,1.0409976924234905
134,Julien Barthazac Cremant de Bordeaux NV,Sparkling,France,Non Vintage,14.99,14.99,0.0,4,12.0,75.0,,1.1758016328482794
135,Black Flag Winemakers McLaren Vale Preservative Free Shiraz 2020,Red,Australia,2020,14.99,14.99,0.0,2,14.5,75.0,2.0,1.1758016328482794
136,The Vinitor Chardonnay 2020,White,USA,2020,11.99,11.99,3.7,14,13.5,75.0,2.0,1.0788191830988487
137,Trois Calices Essentiel 2020,White,France,2020,10.99,10.99,4.1,388,11.5,75.0,2.0,1.0409976924234905
138,Domaine Giraud Lirac 2019,Red,France,2019,17.99,17.99,4.1,19,15.0,75.0,3.0,1.2550311633455513
139,Adega Ponte da Boga DO Ribeira Sacra Godello 2019,White,Spain,2019,14.99,14.99,4.3,7,13.0,75.0,3.0,1.1758016328482794
140,Domaine Giraud Chateauneuf-du-Pape Les Grenaches de Pierre 2019,Red,France,2019,66.49,66.49,0.0,2,15.5,75.0,3.0,1.8227563329513907
141,Black Garden Langhorne Creek Shiraz 2020,Red,Australia,2020,14.99,14.99,4.3,69,14.5,75.0,2.0,1.1758016328482794
142,Don Q Tempranillo Cabernet 2020,Red,Spain,2020,10.99,10.99,3.5,11,13.0,75.0,2.0,1.0409976924234905
143,Pensamiento DO Toro Roble 2019,Red,Spain,2019,13.99,13.99,4.2,47,13.5,75.0,3.0,1.1458177144918276
144,Julg Sonnenberg ‘WB’ Spatburgunder 2019,Red,Germany,2019,34.99,34.99,0.0,1,13.5,75.0,3.0,1.5439439424829065
145,Two Kings Adelaide Hills Chardonnay 2021,White,Australia,2021,15.99,15.99,4.2,86,13.0,75.0,1.0,1.2038484637462348
146,Schloss Lieser Niederberg Helden Grosses Gewachs 2020,White,Germany,2020,39.99,39.99,0.0,0,12.5,75.0,2.0,1.6019514041335217
147,Ziereisen Rhini Spatburgunder 2018,Red,Germany,2018,34.99,34.99,0.0,0,12.5,75.0,4.0,1.5439439424829065
148,Schafer-Frohlich Stromberg Grosses Gewachs 2020,White,Germany,2020,59.99,59.99,0.0,0,12.5,75.0,2.0,1.778078861937455
149,Wild Elevation Malbec 2021,Red,Argentina,2021,15.99,15.99,4.3,223,14.0,75.0,1.0,1.2038484637462348
150,Ripper Tempranillo 2021,Red,Australia,2021,10.99,10.99,4.3,145,14.0,75.0,1.0,1.0409976924234905
151,Domaine les Herbes Blanches Ventoux 2020,Red,France,2020,14.99,14.99,4.3,110,14.5,75.0,2.0,1.1758016328482794
152,Chateau Pertignas Bordeaux 2020,Red,France,2020,10.99,10.99,3.4,8,14.0,75.0,2.0,1.0409976924234905
153,Bodegas Emilio Moro DO Ribera del Duero 2018,Red,Spain,2018,22.99,22.99,0.0,3,14.5,75.0,4.0,1.361538971269279
154,The Ol' Grafter Clare Valley Shiraz Cabernet 2018,Red,Australia,2018,16.99,16.99,4.4,20,14.0,75.0,4.0,1.2301933788690456
155,La Sirene Cuvee St Georges Grenache 2020,Red,France,2020,13.99,13.99,4.3,40,13.5,75.0,2.0,1.1458177144918276
156,Three Gables Swartland Marsanne 2021,White,South Africa,2021,10.99,10.99,4.2,27,13.0,75.0,1.0,1.0409976924234905
157,Three Gables Tannat Tempranillo Tinta Amarela 2020,Red,South Africa,2020,11.99,11.99,4.2,12,14.5,75.0,2.0,1.0788191830988487
158,Ovingtons Muscat 2021,White,South Africa,2021,9.99,9.99,3.1,74,11.0,75.0,1.0,0.9995654882259823
159,Finca La Zulema Malbec 2021,Red,Argentina,2021,14.99,14.99,4.3,15,14.5,75.0,1.0,1.1758016328482794
160,Misty Cove Estate Marlborough Sauvignon Blanc 2021,White,New Zealand,2021,12.99,12.99,4.4,22,13.0,75.0,1.0,1.113609151073028
161,Mount Fishtail Marlborough Sauvignon Blanc 2021,White,New Zealand,2021,12.99,12.99,4.3,24,13.0,75.0,1.0,1.113609151073028
162,The Cup & Rings Godello 2016,White,Spain,2016,11.99,11.99,4.0,12,13.0,75.0,6.0,1.0788191830988487
163,Billy Bosch Paarl Cabernet Sauvignon 2020,Red,South Africa,2020,10.99,10.99,4.3,58,14.5,75.0,2.0,1.0409976924234905
164,Three Gables Paarl Chenin Blanc 2021,White,South Africa,2021,10.99,10.99,4.0,60,13.5,75.0,1.0,1.0409976924234905
165,Depasso Riserva Nero d'Avola Leggermente Appassito 2018,Red,Italy,2018,17.99,17.99,4.6,139,14.0,75.0,4.0,1.2550311633455513
166,Ripper Reserve Pinot Gris 2021,White,Australia,2021,12.99,12.99,4.1,110,12.5,75.0,1.0,1.113609151073028
167,The Comeback Kid Reserve McLaren Vale Shiraz 2019,Red,Australia,2019,17.99,17.99,4.0,52,14.0,75.0,3.0,1.2550311633455513
168,Albacore Reserve Adelaide Hills Chardonnay 2021,White,Australia,2021,16.99,16.99,4.1,53,13.0,75.0,1.0,1.2301933788690456
169,T203 Single Site Shiraz Cabernet 2021,Red,South Africa,2021,9.99,9.99,4.0,142,14.5,75.0,1.0,0.9995654882259823
170,Ripper Pinot Grigio 2021,White,Australia,2021,9.99,9.99,4.5,111,13.0,75.0,1.0,0.9995654882259823
171,Three Gables Reserve Swartland Chenin Marsanne Grenache Blanc 2021,White,South Africa,2021,10.99,10.99,4.3,52,12.5,75.0,1.0,1.0409976924234905
172,1749 Chinon 2020,Red,France,2020,11.99,11.99,4.2,6,13.5,75.0,2.0,1.0788191830988487
173,Le Vendangeoir Saint Nicolas de Bourgueil 2020,Red,France,2020,13.99,13.99,0.0,2,12.5,75.0,2.0,1.1458177144918276
174,Kahaka Marlborough Sauvignon Blanc 2021,White,New Zealand,2021,14.99,14.99,4.3,26,13.0,75.0,1.0,1.1758016328482794
175,Les Perruches Vouvray Demi Sec 2020,White,France,2020,13.99,13.99,4.3,15,12.5,75.0,2.0,1.1458177144918276
176,1749 Muscadet 2020,White,France,2020,11.99,11.99,4.7,25,11.5,75.0,2.0,1.0788191830988487
177,Pouilly Fuisse Domain Damien Martin 2020,White,France,2020,22.99,22.99,4.6,8,13.0,75.0,2.0,1.361538971269279
178,Saint Veran Les Grands Cras Domaine Damien Martin 2019,White,France,2019,23.99,23.99,0.0,2,13.0,75.0,3.0,1.3800302479678306
179,Domaine Billaud-Simon Chablis 1er Cru Vaillons 2020,White,France,2020,49.99,49.99,0.0,1,13.5,75.0,2.0,1.6988831367525903
180,Finca Allende Rioja Tinto 2014,Red,Spain,2014,25.99,25.99,0.0,4,13.5,75.0,8.0,1.4148062795010126
181,Macon Verze Domaine Damien Martin 2020,White,France,2020,19.99,19.99,0.0,2,13.0,75.0,2.0,1.300812794118117
182,Saint Veran Les Maillettes Domaine Damien Martin 2020,White,France,2020,19.99,19.99,0.0,3,13.0,75.0,2.0,1.300812794118117
183,Domaine Francine & Olivier Savary Chablis 2019,White,France,2019,19.99,19.99,4.2,40,12.5,75.0,3.0,1.300812794118117
184,La Pinede Ventoux 2020,Red,France,2020,13.99,13.99,4.1,73,14.5,75.0,2.0,1.1458177144918276
185,Sestosenso Grillo 2020,White,Italy,2020,12.99,12.99,3.2,53,13.0,75.0,2.0,1.113609151073028
186,Three Gables Winemaker's Chardonnay Viognier 2021,White,South Africa,2021,9.99,9.99,3.8,106,13.0,75.0,1.0,0.9995654882259823
187,Tall Gum Mount Benson Pinot Gris 2021,White,Australia,2021,12.99,12.99,4.1,60,12.5,75.0,1.0,1.113609151073028
188,Chateau Puy Razac Saint Emilion Grand Cru 2018,Red,France,2018,19.99,19.99,0.0,4,14.0,75.0,4.0,1.300812794118117
189,5oS Project Old Vine Co. Shiraz Grenache 2019,Red,Australia,2019,24.99,24.99,0.0,2,14.5,75.0,3.0,1.39776625612645
190,Ripper Reserve Adelaide Hills Chardonnay 2021,White,Australia,2021,11.99,11.99,3.8,43,13.0,75.0,1.0,1.0788191830988487
191,Elbo Organic Tempranillo 2019,Red,Spain,2019,13.99,13.99,3.7,71,14.5,75.0,3.0,1.1458177144918276
192,Mahaut Coteaux Varois en Provence Rose 2020,Rose,France,2020,12.99,12.99,4.1,16,13.0,75.0,2.0,1.113609151073028
193,La Penombre Reserve Lesquerde 2019,Red,France,2019,14.99,14.99,4.4,24,14.5,75.0,3.0,1.1758016328482794
194,Reservoir Hogs Adelaide Hills Sauvignon Blanc 2021,White,Australia,2021,13.99,13.99,4.0,61,12.0,75.0,1.0,1.1458177144918276
195,Albacore Reserve Adelaide Hills Sauvignon Blanc 2021,White,Australia,2021,13.99,13.99,4.3,70,12.0,75.0,1.0,1.1458177144918276
196,Pizo Old Vine Carinena 2020,Red,Spain,2020,11.99,11.99,4.2,87,14.0,75.0,2.0,1.0788191830988487
197,Loom SV Sangiovese 2016,Red,Australia,2016,16.99,16.99,0.0,1,14.0,75.0,6.0,1.2301933788690456
198,Familiar Vinho Regional Lisboa Tinto 2021,Red,Portugal,2021,10.99,10.99,4.1,197,13.0,75.0,1.0,1.0409976924234905
199,Domaine de Bonserine Cote Rotie La Sarrasine 2018,Red,France,2018,49.99,49.99,0.0,0,14.0,75.0,4.0,1.6988831367525903
