name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Mercurey Les Bois de Lalier Jean-Baptiste Jessiaume 2020,13.0,2020,75.0,France,White,26.99,0,0.0,https://www.virginwines.co.uk/wine/Z41924102128/Mercurey-Les-Bois-de-Lalier-Jean-Baptiste-Jessiaume,FRA,26.99,1.4312028845565166,26.99,2.0,0.0
The Benevolent Carmenere 2021,13.5,2021,75.0,Chile,Red,11.99,19,4.0,https://www.virginwines.co.uk/wine/Z41881101414/The-Benevolent-Carmenere,CHL,11.99,1.0788191830988487,11.99,1.0,4.0
Eghemon Passimiento 2020,13.5,2020,75.0,Italy,Red,15.99,1193,4.6,https://www.virginwines.co.uk/wine/Z37042101434/Eghemon-Passimiento,ITA,15.99,1.2038484637462348,15.99,2.0,4.6
Ali di Api Pinot Grigio 2021,12.5,2021,75.0,Italy,White,9.99,29,3.7,https://www.virginwines.co.uk/wine/Z41947101414/Ali-di-Api-Pinot-Grigio-Z41947101414,ITA,9.99,0.9995654882259823,9.99,1.0,3.7
Finca Manzanos Seleccion de la Familia Rioja Blanco 2020,12.5,2020,75.0,Spain,White,11.99,2314,4.0,https://www.virginwines.co.uk/wine/Z35519101434/Finca-Manzanos-Seleccion-de-la-Familia-Rioja-Blanco,ESP,11.99,1.0788191830988487,11.99,2.0,4.0
Quintas do Homem Domum Vinho Verde 2020,12.0,2020,75.0,Portugal,White,11.99,1364,4.0,https://www.virginwines.co.uk/wine/Z37601101434/Quintas-do-Homem-Domum-Vinho-Verde,PRT,11.99,1.0788191830988487,11.99,2.0,4.0
Les Arbousiers Reserve Coteaux du Languedoc 2020,13.0,2020,75.0,France,Red,11.99,1126,4.0,https://www.virginwines.co.uk/wine/Z34552101061/Les-Arbousiers-Reserve-Coteaux-du-Languedoc,FRA,11.99,1.0788191830988487,11.99,2.0,4.0
Kraft des Landes Gruner Veltliner 2020,12.5,2020,75.0,Austria,White,13.99,65,4.2,https://www.virginwines.co.uk/wine/Z41532101434/Kraft-des-Landes-Gruner-Veltliner,AUT,13.99,1.1458177144918276,13.99,2.0,4.2
The Benevolent Cabernet Merlot Petit Verdot 2021,14.0,2021,75.0,Australia,Red,11.99,8,3.2,https://www.virginwines.co.uk/wine/Z41882101414/The-Benevolent-Cabernet-Merlot-Petit-Verdot,AUS,11.99,1.0788191830988487,11.99,1.0,3.2
Tall Gum Sauvignon Blanc 2021,13.0,2021,75.0,Australia,White,11.99,0,0.0,https://www.virginwines.co.uk/wine/Z42074101414/Tall-Gum-Sauvignon-Blanc,AUS,11.99,1.0788191830988487,11.99,1.0,0.0
