rating,num_review,wine_type,size(cL),name,price,country,abv,year,url,age,score,scaled_price,logprice,countrycode,price_fixed
4.9,52,white,75.0,Enate Chardonnay 234,10.55,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/enate-chardonnay-234.html#/1-volume-75_cl/201-year-2021,1.0,4.9,10.55,1.0232524596337116,ESP,10.55
4.8,26,white,75.0,José Pariente Verdejo,11.33,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/jose-pariente-verdejo.html#/1-volume-75_cl/201-year-2021,1.0,4.8,11.33,1.0542299098633972,ESP,11.33
4.8,15,white,75.0,The Flower and the Bee,10.85,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/the-flower-and-the-bee.html#/1-volume-75_cl/201-year-2021,1.0,4.8,10.85,1.0354297381845483,ESP,10.85
5.0,2,white,75.0,Can Sumoi Xarel·lo,13.64,Spain,14.0,2021.0,https://www.decantalo.com/uk/en/can-sumoi-xarello.html#/1-volume-75_cl/201-year-2021,1.0,0.0,13.64,1.13481437032046,ESP,13.64
4.8,6,white,75.0,Martín Codax Albariño,13.73,Spain,12.0,2021.0,https://www.decantalo.com/uk/en/martin-codax-albarino.html#/1-volume-75_cl/201-year-2021,1.0,4.8,13.73,1.137670537236755,ESP,13.73
4.8,23,white,75.0,Faustino V Blanco,7.46,Spain,12.5,2020.0,https://www.decantalo.com/uk/en/faustino-v-blanco.html#/1-volume-75_cl/158-year-2020,2.0,4.8,7.46,0.8727388274726688,ESP,7.46
4.8,25,white,75.0,Terras Gauda,15.32,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/terras-gauda.html#/1-volume-75_cl/201-year-2021,1.0,4.8,15.32,1.1852587652965851,ESP,15.32
5.0,8,white,75.0,Marqués de Cáceres Blanco,7.55,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/marques-de-caceres-blanco.html#/1-volume-75_cl/201-year-2021,1.0,5.0,7.55,0.8779469516291882,ESP,7.55
4.4,14,white,75.0,Torres Viña Esmeralda,10.0,Spain,11.5,2021.0,https://www.decantalo.com/uk/en/torres-vina-esmeralda.html#/1-volume-75_cl/201-year-2021,1.0,4.4,10.0,1.0,ESP,10.0
0.0,0,white,75.0,Maison Orcia Saint Véran,9.61,France,12.5,2017.0,https://www.decantalo.com/uk/en/maison-orcia-saint-veran.html#/1-volume-75_cl/180-year-2017,5.0,0.0,9.61,0.9827233876685453,FRA,9.61
4.7,7,white,75.0,Leirana Albariño,16.17,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/leirana-albarino.html#/1-volume-75_cl/201-year-2021,1.0,4.7,16.17,1.2087100199064011,ESP,16.17
4.5,11,white,75.0,Paco & Lola,12.66,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/paco--lola.html#/1-volume-75_cl/201-year-2021,1.0,4.5,12.66,1.1024337056813363,ESP,12.66
4.2,9,white,75.0,Muga Blanco,12.91,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/muga-blanco.html#/1-volume-75_cl/201-year-2021,1.0,4.2,12.91,1.1109262422664203,ESP,12.91
